Latin,Français
"Hostes, morsti paulisper, non tulerunt impetum nostrorum militum, nostrorum militum, seque ejecerunt ex alia parte oppidi.","Les ennemis, nous avons retardé un peu, ne supportèrent pas l'élan de nos soldats, et s'étancèrent-an-d'hors d'un autre côté de la ville."
"Magnas numerus pecoris repertus ibi, multique in fuga comprehensi sunt atque interfecti.","Un grand nombre de bétail fut trouvé là, et beaucoup d'hommes dans la fuite furent saisis et tués."
"XXII. Dum haec geruntur in his locis, Cassivellaunus mittit nuntios ad Cantium, quod demonstravimus supra","XXII. Tandis que ces événements se passent dans ces lieux, Cassivellaunus envoie des messagers dans le Cantium, que nous avons indiqué ci-dessus"
"esse ad mare, quibus regionibus quatuor rogues praeserant, Cingetorix, Carvilius, Taxiniagulus, Segonax, atque imperat his uti, omnibus copiis coactis, adoriantur de improviso atque oppugnent castra navalia.","être au-dessus de la mer, auxquelles contrées quatre rois commandaient, Cingetorix, Carvilius, Taxiniagulus, Segonax, et commande à tous les troupes étant rassemblées, ils se mettent à l'improviste et forcent le camp naval."
"Quum li venissent ad castra, nostri, eruptione facta, multis eorum interfectis, etiam duce nobili Lugotorige capto, reduxerunt suos in columnes, Cassivellaunus, hoc proelio nuntiato, tot detrimentis acceptis, finibus vastatis, permotus maxime etiam defectione civitatum, mittit legatos ad Cæsarum per Atrebatem Commium de deditione.","Comme ceux-ci étaient venus vers le camp, les notres, une sortie étant faite, beaucoup d'entre eux ayant été tués, et même un chef de-distinction Lugotorix ayant été pris, ramenerent les leurs sains-et-saufs. Cassivellaunus, ce combat lui ayant été annoncé, tant de dommages ayant été reçus (es-son territoire ayant été devasté, ém sur tout aussi"
"Cæsar, quum statuisset agere hiemis in continenti ropter motus repentinos","César, comme il avait résolu de passer l'hiver sur le continent à-cause-des mouvements soudains"
"Cingetorix, Carvilius, Taxiniagulus, Segonax, atque imperat his uti, omnibus copiis coactis, adoriantur de improviso atque oppugnent castra navalia.","Cingetorix, Carvilius, Taxiniagulus, Segonax, atque imperat his uti, omnibus copiis coactis, adoriantur de improviso atque oppugnent castra navalia."
"Quum li venissent ad castra, nostri, eruptione facta, multis eorum interfectis, etiam duce nobili Lugotorige capto, reduxerunt suos in columnes, Cassivellaunus, hoc proelio nuntiato, tot detrimentis acceptis, finibus vastatis, permotus maxime etiam defectione civitatum, mittit legatos ad Cæsarum per Atrebatem Commium de deditione.","Quum li venissent ad castra, nostri, eruptione facta, multis eorum interfectis, etiam duce nobili Lugotorige capto, reduxerunt suos in columnes, Cassivellaunus, hoc proelio nuntiato, tot detrimentis acceptis, finibus vastatis, permotus maxime etiam defectione civitatum, mittit legatos ad Cæsarum per Atrebatem Commium de deditione."
"Cæsar, quum statuisset agere hiemis in continenti ropter motus repentinos","Cæsar, quum statuisset agere hiemis in continenti ropter motus repentinos"
"Cingetorix, Carvilius, Taxiniagulus, Segonax, atque imperat his uti, omnibus copiis coactis, adoriantur de improviso atque oppugnent castra navalia.","Cingetorix, Carvilius, Taxiniagulus, Segonax, atque imperat his uti, omnibus copiis coactis, adoriantur de improviso atque oppugnent castra navalia."
"Quum li venissent ad castra, nostri, eruptione facta, multis eorum interfectis, etiam duce nobili Lugotorige capto, reduxerunt suos in columnes, Cassivellaunus, hoc proelio nuntiato, tot detrimentis acceptis, finibus vastatis, permotus maxime etiam defectione civitatum, mittit legatos ad Cæsarum per Atrebatem Commium de deditione.","Quum li venissent ad castra, nostri, eruptione facta, multis eorum interfectis, etiam duce nobili Lugotorige capto, reduxerunt suos in columnes, Cassivellaunus, hoc proelio nuntiato, tot detrimentis acceptis, finibus vastatis, permotus maxime etiam defectione civitatum, mittit legatos ad Cæsarum per Atrebatem Commium de deditione."
"Cæsar, quum statuisset agere hiemis in continenti ropter motus repentinos","Cæsar, quum statuisset agere hiemis in continenti ropter motus repentinos"
"Cingetorix, Carvilius, Taxiniagulus, Segonax, atque imperat his uti, omnibus copiis coactis, adoriantur de improviso atque oppugnent castra navalia.","Cingetorix, Carvilius, Taxiniagulus, Segonax, atque imperat his uti, omnibus copiis coactis, adoriantur de improviso atque oppugnent castra navalia."
"Quum li venissent ad castra, nostri, eruptione facta, multis eorum interfectis, etiam duce nobili Lugotorige capto, reduxerunt suos in columnes, Cassivellaunus, hoc proelio nuntiato, tot detrimentis acceptis, finibus vastatis, permotus maxime etiam defectione civitatum, mittit legatos ad Cæsarum per Atrebatem Commium de deditione.","Quum li venissent ad castra, nostri, eruptione facta, multis eorum interfectis, etiam duce nobili Lugotorige capto, reduxerunt suos in columnes, Cassivellaunus, hoc proelio nuntiato, tot detrimentis acceptis, finibus vastatis, permotus maxime etiam defectione civitatum, mittit legatos ad Cæsarum per Atrebatem Commium de deditione."
"Cæsar, quum statuisset agere hiemis in continenti ropter motus repentinos","Cæsar, quum statuisset agere hiemis in continenti ropter motus repentinos"
