Latin,Français
omnes suos clientes,tous ses clients
quorum habebat,"et débiteurs,"
magnum numerum :,dont il avait
se eripuit per eos,un grand nombre :
ne diceret causam.,il se déroba à-l'aide d'eux
"Quam civitas,",pour qu'il ne dit (plaidât) pas sa cause.
"incitata ob eam rem,","Comme la cité,"
conaretur exsequiscum jus,"animée pour ce fait,"
"armis,",s'efforçait de poursuivre son droit
magistratusque,"par les armes,"
cogerent ex agris,et que les magistrats
"multitudinem hominum,",rassemblaient des champs
Orgetorix mortuus est;,"un grand-nombre d'hommes,"
"neque suspicio abest,",Orgetorix mourut ;
"ut Helvetii arbitrantur,","et le soupçon ne manque pas,"
quin ipse,"comme les Helvètiens conjecturent,"
consciverit mortem sibi.,que lui-même
V. Post mortem ejus,n'ait résolu (donné) la mort à lui-même.
Helvetii nihilominus,V. Après la mort de lui
"conantur facere id,",les Helvètiens neanmoins
"quod constituerant,","entreprennent de faire cela,"
ut exeant e suis finibus.,"qu'ils avaient arrêté,"
Ubi arbitrati sunt,qu'ils sortent de leurs frontières.
se jam esse paratos,Des qu'ils pensèrent
"ad eam rem,",eux-mêmes déjà être préparés
incendunt,"pour ce fait,"
"omnia sua oppida,",ils incendient
"ad duodecim numero,","toutes leurs villes,"
vicos,"qui allaient à douze par le nombre,"
"ad quadringentos,",leurs bourgades
"reliqua ædificia privata,","qui allaient à quatre-cents,"
comburunt,"tous-les-autres édifices particuliers,"
"omne frumentum,",brillent
præter quod portaturierant,"tout le blé,"
"secum,",excepté celui qu'ils allaient emporter
"ut, spe reditionis domum","avec eux-mêmes,"
"sublata,","afin que, l'espoir d'un retour à la maison"
essent paratiores,"ayant été enlevé,"
[cula:,ils fussent plus prêts
ad subeunda omnia peri-,à subir tous les périls :
jubent quemque,ils ordonnent chacun
efferre sibi domo,emporter pour soi de sa maison
cibaria molita,les aliments moulus (la farine)
trium mensium.,de trois mois.
Persuadent Rauraques et Tulingis et Lalobrigis,Ils persuadent aux Rauraques et aux Tulingiens et aux Latobriges
finitimis,leurs voisins
