Latin,Français
"Gallis ad pugnam,","aux Gaulois pour le combat,"
quod pluribus scutis eorum transfixis et colligatis,"que, plusieurs boucliers d'eux ayant été percés et attachés-ensemble"
"uno ietu pilorum,","par un seul coup des javelots,"
"quum ferrum se inflexisset,","après que le fer s'était courbé,"
"poterat neque evellere,","ils ne pouvaient ni l'arracher,"
"neque, sinistra impedita,","ni, leur main gauche étant embarrassée,"
pugnare satis commode;,combattre assez aisément ;
"ut multi,","tellement que beaucoup,"
"brachio jactato diu,","leur bras ayant été agité longtemps,"
præoptarent,préférant
emittere scutum manu,l'acher le bouclier de leur main
et pugnare corpore nudo.,et combattre avec un corps nu.
"Tandem defessi vulneribus,","Enfin épuisés de blessures,"
cœperunt,ils commencèrent
"referre pedem,","à porter-en-arrière le pied (à reculer),"
"et, quod mons suberat","et, comme une montagne était-proche"
"circiter inille passuum,","environ à un millier de pas,"
se recipere eo.,à se retirer là.
Monte capto,La montagne ayant été prise (occupée)
"at nostris succedentibus,","et les nôtres les suivant,"
"Boii et Tulingi,","les Boiens et les Tulinges,"
qui claudebant,qui fermaient
agmen hostium,la marche des ennemis
circiter quindecim millibus,environ avec quinze milliers
hominum,d'hommes
et erant præsidio,et étaient à appui
"novissimis,","aux derniers,"
aggressi nostros,ayant attaqué les nôtres
latere aperto,sur leur flanc découvert
"ex itinere,","pendant la marche,"
circumvenere ;,les entourèrent ;
"et Helvetii,","et les Helvètiens,"
qui s'etaient retirés,qui s'étaient retirés
"sur la montagne,","sur la montagne,"
"conspirati id,","ayant aperçu cela,"
cœperunt instare rursus,commencèrent à nous presser de nouveau
et redintegrare proelium.,et à renouveler le combat.
Romani intulerunt,Les Romains portèrent-contre l'ennemi
bipartito,de-deux-côtés
signa conversa :,leurs étendards tournés contre eux :
"prima ac secunda acies,","le premier et le second rang,"
ut resisteret victis,pour qu'il résistât aux ennemis vaincus
et submotis;,et repoussés;
"tertia,","le troisième,"
ut exciperet venientes.,pour qu'il recût les ennemis arrivant.
XXVI. Pugnatum est ita,XXVI. Il fut combattu ainsi
