Latin,Français
non modo nemo,non seulement personne
decederet de vallo,ne s'éloignait du retranchement
"causa demigrandi,","en vue de s'en aller,"
sed pane quidem;,mais presque personne
ne respiceret quidem;,même ne regardait-en-arrière;
ac tum omnes pugnareut,et qu'alors tous combattaient
acerrime fortissimeque.,très-bravement et très-bravement.
Hic dies,Ce jour
fuit longe gravissimus,fut de loin (beaucoup) le plus accablant
nostris;,pour les nôtres;
sed tamen,mais cependant
"habuit hunc eventum,","il eut ce résultat,"
ut eo die,que ce jour-là
maximus numerus hostium,un très-grand nombre d'ennemis
vulneraretur,fut blessé
"atque interficeretur,","et fut tué,"
ut se constipaverant,vu qu'ils s'étaient entassés
"sub vallo ipso,","au-pied-du retranchement même,"
ultimique,et que les derniers
non dabant recessum,ne donnaient pas de retraite
primis.,aux premiers.
Flamma quidem,La flamme à la vérité
"intermissa paulum,","s'étant ralentie un peu,"
et quodam loco,et en un certain lieu
turri adacta,une tour ayant été poussée
"contingente valum,","et touchant le retranchement,"
centuriones tertise cohortis,les centurions de la troisième cohorte
recesserunt ex eo loco,se retirèrent de ce (du) poste
"quo stabant,","dans lequel ils se tenaient,"
removeruntque,et écartèrent
omnes suos;,tous les leurs;
conperunt vocare,ils commencèrent à appeler
utu vocibusque,du signe et des voix
"hostes, si vellent introire :","les ennemis, s'ils voulait entrer :"
quorum nemo,desquels personne
ausus est progredi.,n'osa s'avancer.
Tum lapidibus conjectis,Alors des pierres ayant été lancées
"ex omni parte,","de tout côté,"
deturbati,ils furent culbutés
turrisque succensa est.,et la tour fut incendiée.
XLIV.,XLIV.
In ea legione,Dans cette légion
"erant viri fortissimi,","étaient deux hommes très-braves,"
centuriones,centurions
qui jam appropinquarent,qui déjà approchaient
"primis ordinibus,","des premiers rangs,"
T. Pulfio et L. Varenus.,T. Pulfion et L. Varenus.
Hi habebant inter se,Ceux-ci avaient entre eux
