Latin,Français
"nostris militibus, et effect hostes","à nos soldats, et elle rendit les ennemis"
"alaceriores ad pugnam, quod id","plus empessés pour le combat, parce que cela"
non videbatur factum sine summo timore et desperatione.,ne semblait pas fait sans une extrême crainte et un éziréme désespoir.
"Accidit præterea, quod erat necesse fieri","Il arriva en outre, laquelle chose il était nécessaire être"
"at milites vulgo discederent ab signis,","que les soldats de-tous-côtés s'éloignaient des enseignes,"
"quæ quisque eorum haberet carissima,","et que les objets que chacun d'eux avait le plus chers (estimait le plus),"
properaret petere ab impedimentis,il s'empressait de les aller-prendre d'entre les baggages
"atque abripere, omnia complerentur","et de les enlever, que tout était rempli de cris et de pleurs."
clamore ac fletu.,XXXIV. At consilium non defuit barbaris :
XXXIV. Mais la conduite ne manqua pas aux barbares :
nam duces eorum jusserunt pronuntiare,car les chefs d'eux ordonnèrent de proclamer
jusserunt pronuntiare tota acie,dans toute l'armée
« Ne quis discederet ab loco; »,« Que personne ne s'éloignât de son poste; »
"prædam esse illorum, atque quæcumque Romani reliquissent","le butin appartenir à eux, et tout ce que les Romains auraient laissé"
reservari illis :,être réservé à eux :
proinde existimarent omnia posita in victoria. »,en-consequence qu'ils pensassent [toire.
Erant pares pugnando et virtute et numero :,tout être reposant sur (dépendre de)la vie-
"nostri tamen, etsi deserebantur",Ils étaient suffisants pour combattre et par le courage et par le nombre :
"ab duce et a fortuna,","les nôtres cependant, bien qu'ils fussent abandonnés"
tamen ponebant in virtute,"par leur chef et par la fortune,"
"omnem spem salutis,","cependant placait en leur courage tout leur espoir de salut,"
"et, quoties queque cohors procurreret,","et, toutes les fois que chaque cohorte s'élançait-en-avant,"
magnus numerus hostium calebat ab ea parte.,un grand nombre d'ennemis tombait de ce côté.
"Qna re animadversa,","Lequel fait était remarqué,"
Ambiorix,Ambiorix
jubet pronuntiari,ordonne être proclamé
"Ut conjiciant tela procul,","« Qu'ils lancent les traits de loin,"
"acu accedant propius,",ou (et) ne s'avancent pas plus près.
