Latin,Français
possent pati,ne pouvaient supporter
vim tempestatis,la violence de la tempête;
itaque,en conséquence
ex eo concursu navium,par suite de ce choc des vaisseaux
magnum incommodum,un grand dommage
accipitum esse.,avoir été reçu essuyé).
"XI. His rebus cognitis,","XI. Ces faits ayant été appris,"
Cæsar jubeat,César ordonne
legiones equitatumque,les légions et la cavalerie
revocari,être rappelées
atque desistere itinere;,et cesser leur marche;
ipse revertitur ad naves :,lui-même retourne vers les vaisseaux
perspiciit coram,il reconnaît en présence (de ses yeux)
fere cadem,à peu près les mêmes choses
quæ cognoverat,qu'il avait appris
"ex nuntiis litterisque,","des messages et de la lettre,"
"sic ut,","mais de-telle sorte que,"
quadranginta navibus,quarante vaisseaux
cfriciter,environ
"amissis,","étant perdu,"
reliqua tamen,les autres cependant
viderentur posse refici,paraissaient pouvoir être réparés
magno negotio.,avec une grande difficulté.
Itaque delegit fubros,Éconsequence il abolaît des ouvriers
ex legionibus,des (dans les) régions
et jubeat nalion,et ordonne d'autres ouvriers encore
"arcessiri ex continenti,","être mandés du continent,"
scribit Labieno,il écrit à Labienus
"ut iis legionibus,","qu'avec ces légions,"
"quæ sint apud eum,","qui étaient auprès de lui,"
in-titut,il commence
naves,des vaisseaux
quam posset plurimas.,qu'il pourrait construire les plus nom-
"Ipsc., etsi erat res","Lui-même, queique ce fut une affaire"
"multæ operæ ac laboris,","de beaucoup de soin et de travail,"
tamen statuit,cependant décida
commodissimum esse,le parti le plus avantageux être
onnes naves subduci,tous les vaisseaux être tirés à terre
et conjungi cum castris,et être réunis avec le camp
una munitione.,par un seul. le même) retranchement.
Conssmit,Il emploie
circiter decem dies,environ dix jours
"in his rebus,","dans (à. ces choses,"
ne temporibus quidem noc-,le temps même de-la-nuit
infermissis,n'étant pas laissés soldats.
ad laborem militum.,pour le travail des soldats.
Navibus subductis,Les vaisseaux ayant été tirés à terre
