Latin,Français
initium,le commencement
tumultus repentini,d'une révolte soudaine
ad defectionis,et d'une defection
ortum est ab Ambiorige,partit d'Ambiorix
et Cativolco:,et de Cativolcus:
qui quum fuissent presto,qui après qu'ils avaient été an-devant
Sabino Cottaeque,de Sabinius et de Cotta
"ad fines sui regni,","à la frontière de leur royaume,"
comportavissentque,et avaient transporté
frumentum,du blé
"in hiberna,","dans les quartiers-d'hiver,"
impulsi nuntiis,excités par les messages
"Treviri Indutiomari,","du Trévire Indutiomare,"
"concitaverunt suos,","souleverent les leurs (leurs concitoyens),"
lignatoribusque,et ceux-qui-conprient-du-bois
"oppressis subito,","étaient accablés soudainement,"
venerunt magna manu,vinrent avec une grande troupe
oppugnatum castra.,attaquer le camp.
Qcum nostri,Comme les nôtres
Qcepuissent arma celeriter,avaient pris les armes promptement
"ascendissentque vallum,","et étaient montés sur le retranchement,"
"atque, equitibus Hispanis","et, les cavaliers espagnols"
"emissis ex una parte,",ayant été envoyés-lors du camp d'un côté
fuissent superiores,avaient été vainqueurs
"proelio equestri,","dans un combat de-cavalerie,"
"re desperata,",l'entreprise étant jugée-désespérée
hostes reduxerunt suos,les ennemis ramenèrent les leurs
ab oppugnatione.,de l'attaque.
Tum conclamaverunt,Alors ils crièrent
suo more,à leur manière
uti aliaqui ex nostris,que quelques-uns des nôtres
prodirent ad colloquium;,s'avançassent à une conférence;
sese habere,eux-mêmes avoir des choses
quae vellent dicere,qu'ils voulaient dire
"de re communi,","sur l'intérêt commun,"
quibus rebus sperarent,par lesquelles choses ils espéraient
controversias posse minui.,les différends pouvoir être affaibilis.
"XXVII. C. Arpineius,","XXVII. C. Arpineius,"
"eques Romanus,","chevalier romain,"
"familiaris Q. Titurii,","ami de Q. Titurius,"
mittitur ad eos,est envoyé vers eux
"causa colloquendi,","en vue de conférer,"
"causa colloquendi,",et un certain Q. Junius
et quidam Q. Junius,"d'Espagne,"
"ex Hispania,",qui déjà auparavant
qui jam ante,sur l'envoi de (envoyé par) César
missi Caesaris,avait-coutume de venir-souvent
consueverat ventitare,consueverat ventitare
