Latin,Français
"et, provoctus","et, ayant été porté-en-avant"
"leni Africo,","par un doux vent-d'Afrique,"
vento intermisso,le vent s'étant interrompu
"media nocte circiter,","au milieu-de la nuit environ,"
"non tenuit cursum,","ne garda pas sa direction,"
"et, delatus longius","et, porté trop loin"
"estu,","par la merée,"
"luce orta,","le jour s'étant levé,"
conspexit Britanniam,aperçut la Bretagne
relictam sub sinistra.,laissée à gauche.
"Turn rursus,","Alors de nouveau,"
secutus,ayant suivi (s'étant laissé aller)
"commutationem æstus,","le (au) changement de marée,"
"contendit remis,","il força de rames,"
ut caperet,afin qu'il saisît (gagnât)
"eam partem insulæ,","cette partie de l'île,"
qua cognoverat,dans laquelle il avait reconnu
æstate superiore,l'été précédent
optimum egressum,le meilleur lieu-de-débarquement
esse.,se trouver.
In qua re,Dans laquelle circonstance
virtus militum,le courage des soldats
"fuit admodum laudanda,","fut grandement à-louer,"
qui navigiis vectoriis,qui avec des bâtiments de-transport
"gravibuaque,","et lourds,"
labore remizandi,le travail de ramer
"non intermisso,","n'ayant pas été interrompu,"
adequarent cursuni,égalerent la marche
navium longarum.,des vaisseaux longs.
Accessum est,On aborda
ad Britanniam,en Bretagne
omnibus navibus,avec tous les vaisseaux
fere tempore meridiano;,à peu près au moment de-midi;
neque hostis visus est,et l'ennemi ne fut pas aperçu
"in eo loco,","dans cet endroit,"
"sed, ut postea Caesar","mais, comme César"
"comperit ex captivis,","l'apprit des prisonniers,"
quum inagnæ manns,après que de grandes troupes
"convenissent eo,","s'étaient réunies là,"
perterritze,épouvantées
multitudine navium,par la multitude des vaisseaux
(qua cum annotinis,(qui avec ceux de-l'année-dernière
"privatisque,","et les bâtiments particuliers,"
quas quisque fecerat,que chacun avait faits
"sui commodo,","en vue de sa commodité,"
visa erant,avaient été aperçus
amplius octingentis,au nombre de plus que huit-cents
