Latin,Français
inferior ad meridiem.,l'angle inférieur regarde vers le midi.
Hoc latins tenet ciroiter quingenta millia passuum.,Ce côté occupe environ cinq-cents milliers de pas.
Alterum,L'autre côté
vergit ad Hispaniam,incline vers l'Espagne
"atque solem occidentem,","et le soleil couchant,"
"ex quae parte est Hibernia,","duquel côté est l'Hibernie,"
dimidio minor,de moitié moins-grande
"quam Britannia,","que la Bretagne,"
ut aestimatur;,à ce qu'on estime;
sed transmissus,mais la traversée
in Britanniam,d'Hibernie en Bretagne
est pari spatio,est de la même distance (longueur)
atque ex Gallia.,que de Gaule en Bretagne.
In medio hoc cursu,Au milieu de ce trajet
"est insula,","est une île,"
quæ appellatur Mona;,qui est appelée Mona;
præterea,outre-cela
complures insulæ minores,plusieurs îles plus petites
existimantur objectores,sont crues être situées-en-face de la côte:
de quibus insulis,sur lesquelles îles
nonnulli scripserunt,quelques-uns ont écrit
sub bruma,dans l'époque-du solstice-d'hiver
noctem esse,la nuit être (régner)
triginta dies continuos.,trente jours de suite.
Nos reperiebamus,Nous ne trouvions (n'avons appris)
nihil de eo,rien sur cela
"percontationibus,","par nos informations,"
nisi videbamus,sinon que nous voyions
mensuris certis,par les mesures de temps déterminées
ex aqua,tirées de l'eau (des clepsydres)
noctes esse breviores,les nuits être plus courtes
quam in continenti.,que sur le continent.
"Longitudo hujus lateris,","La longueur de ce côté,"
"ut fert opinio illorum,",à ce que comporte l'évaluation de ceux-là est
est septingentorum millium.,de sept-cents milles.
Tertium,Le troisième côté
"est contra septentriones,","est vis-à-vis le septentrion,"
cui parti nulla terra,à laquelle partie aucune terre
est objecta,n'est faisant-vis-à-via;
sed angulus eius lateris,mais un angle de ce côté
spectat ad Germaniam,regarde vers la Germanie
maxime:,de-préférence:
existimatur,on estime
huit-cents milliers de pas,huit-cents milliers de pas
