Latin,Français
"si videatur,","si cela lui semble bon,"
ut excedant pugna,qu'ils sortent du combat (de la mêlée)
et colloquantur,et s'entretiennent
una cum Ambiorige :,"ensemble avec Ambiorix, disant :"
Sperare,Lui-même espérer
posse impetrare ab eo,pouvoir obtenir de lui ce qu'il neuf
de sua salute ac militum.,touchant son salut et celui des soldtas.
Cotta negat se iturum,Cotta nie lui-même devoir aller (refuse
"ad hostem armatum,","vers un ennemi armé,"
atque constitit in eo.,et il persista en cela.
XXXVII. Sabinus,XXXVII. Sabinus
jubet tribunos militum,ordonne les tribuns des soldats
et centuriones,et les centurions
primorum ordinum,des premiers ordres
quos habebat circum se,qu'il avait autour de lui
in praesentia,dans le moment-présent
"sequi se,","suivre lui-même,"
"et, quum accessisset","et, comme il s'était avancé"
"propius Ambiorigem,","plus près d'Ambiorix,"
jussus,ayant reçu-l'ordre
"abjicere arma,","de jeter ses armes,"
"facit imperatum,","il fait la chose commandée,"
imperatque suis,et commande aux siens
ut faciant idem.,qu'ils fassent la même chose
"Interim,","Cependant,"
dum agunt inter se,tandis qu'ils traitent entre eux
de conditionibus,des conditions
sermoque longior,et qu'un entretien plus long
instituitur consulto,est entrepris à dessin
"ab Ambiorige,","par Ambiorix,"
circumventus paulatim,enveloppe peu à peu
interficitur.,il est tué.
Tum vero suo more,Mais alors à leur maniere
victoriam,ils crièrent victoire
"atque tollunt ululatum,","et élèvent (poussent) un hurlement,"
"impetuque facto in nostros,",et une charge élevant contre les nôtres
perturbant ordines.,ils troublent les rangs.
Ibi L. Cotta pugnans,La L. Cotta combattant
interficitur,est tué
cum maxima parte,avec la plus grande partie
militum;,des soldats;
reliqui,le reste
"se recipiunt in castra,","se retire dans le camp,"
unde egressi erant:,d'oh ils étaient sortis :
ex quibus L. Petrosidius,d'entre lesquels L. Pétrosidius
"aquilifer,","porte-penseigne,"
quum premeretur,comme il était pressé
