Latin,Français
"calamitatem insignem,","un désastre remarquable,"
persolvit poenas princeps.,paya des peines (fut punie) la première.
In qua re Cæsar ultus est,Dans lequel fait César vengea
non solum,non seulement
"injurias publicas,","les injures publiques,"
"sed etiam privatas,","mais encore ses injures personnelles,"
quod Tigurini interfecerant,parce que les Tigurins avaient tué
"avum L. Pisonis socerijus,","l'âgeul de L. Pison beau-père de lui,"
"L. Pisonem legatum,","L. Pison le lieutenant,"
"eodem proelio,","dans le même combat,"
quo Cassium.,"dans lequel il avait été fait (livré,"
"XIII. Hoc proelio facto,","XIII. Ce combat ayant été fait (livré,"
ut posset consequi,afin qu'il pût atteindre
reliquas copias,le reste-des troupes
"Helvetiorum,","des Helvètiens,"
curat pontem faciendum,il s'occupe d'un pont devant être fait
"in Arari,","sur la Saône,"
atque ita,et ensuite
transductit exercitum.,fait-passer son armée.
"Helvetii, commoti","Les Helvètiens, émus"
"adventu repentino ejus,","de l'arrivée soudaine de lui,"
quam intelligent,comme ils reconnaissaient
illum fecisse uno die,lui avoir fait en un-seul jour
id quod ipsi confecerant,ce qu'eux-mêmes avaient achevé
ægerrime,très-péniblement
"viginti diebus,","en vingt jours,"
"ut transirent flumen,","à savoir qu'ils passassent la rivière,"
mittunt legatos ad eum :,envoient des députés vers lui :
cujus legationis,de laquelle députation
"Divico fuit princeps,","Divicon fut le chef,"
qui fuerat dux Helvetiorum,qui avait été général des Helvètiens
bello Cassiano.,dans la guerre contre-Cassius.
Is agit ita cum Cæsare :,Celui-ci s'explique ainsi avec César :
Si populus Romanus,Si le peuple romain
faceret pacem,faisait la paix
"cum Helvetiis,","avec les Helvètiens,"
Helvetios,les Helvètiens
ituros in eam partem,devoir aller de ce côté
"atque futuros ibi,","et devoir être (rester) là,"
ubi Cæsar constituisse eos,où César avait établi eux
atque voluisset esse;,et aurait voulu être;
sin perseveraret,si-an-contre il persévérait
"persequi bello,",à les poursuivre par la guerre;
reminisceretur,qu'il se souvint
et vateris incommodi,et de l'ancien désastre
"populi Romani,","du peuple romain,"
et pristinæ virtutis,et de l'antique valeur
