Latin,Français
qui infuit,qui coule
"in flumen Rhodanum,","dans le fleuve du Rhône,"
"ad montem Jura,","jusqu'au mont Jura,"
qui dividit ab Helvetiis,qui sépare des Helvétiens
fines Sequanorum;,les frontières des Séquaniens.
"Eo opere perfecto,","Cet ouvrage étant achevé,"
"disponit praevidia,","il dispose des garnisons,"
"communit castella,","fortifie des redoutes,"
quo possit facilius,afin qu'il puisse plus facilement
"prohibere,","les écarter,"
si conarentur transire,s'ils entreprenaient de passer
se invito.,lui-même ne-voulant-pas.
"Ubi ea dies,","Dès que ce jour,"
quam constituerat,qu'il avait établi (fixé)
"cum legatis,","avec les députés,"
"venit,","fut venu,"
et legati,et que les députés
"reverterant ad eum,","furent-de-retour vers lui,"
negat se posse,il nie lui-même pouvoir
more et exemplo,d'après la coutume et l'exemple
populi Romani,du peuple romain
dare iter ulli,donner route (passage) à personne
per provinciam;,à travers la province;
"et ostendit prohibiturum,",et il montra (signifia) lui devoir les
si consentur facere vim.,s'ils essayaient de faire violence.
"Helvetii, dejecti ea spe,","Les Helvétiens, déçus de cet espoir,"
conati,ayant essayé
"si possent perrumpere,","s'ils pourraient forcer le passage,"
"nonnunquam interdiu,","quelquefois pendant-le-jour,"
"sapius noctu,","plus souvent de nuit,"
navibus junctis,les uns des navires ayant été
ratibusque compluribus,et des radeaux très-nombreux
"factis,","ayant été faits,"
"alii vadis Rhodani,","d'autres par les gués du Rhône,"
qua altitudo fluminis,par où la profondeur du fleuve
"erat minima,","était la moindre,"
repulsi,ayant été repoussés
munitione operis,par la fortification de l'ouvrage
et concursu,et par le concours
"et telis militum,","et les traits des soldats,"
destituerunt hoc conatu.,se désisterent de cette tentative.
IX. Una via,IX. Une seule route
"relinquebatur,","était laissée,"
"per Sequanos,","à travers les Séquaniens,"
qua non poterant ire,par où ils ne pouvaient pas aller
"Sequanis invitis,","les Séquaniens ne-voulant-pas,"
propter angustias.,à-cause-des défilés.
