Latin,Français
hiberna atque nolint,les quartiers-d'hiver
hanc consuetudinem,et ne-veulent-pas
inveterascere:,cette coutume
licere per se,s'enraciner :
illis discedere incolumibus,être-permis par eux-mêmes
"ex hibernis,",à eux (aux Romains) de sortir sains-et-
et proficisci sine metu,"des quartiers-d'hiver,"
in quascumque partes,et de partir sans crainte
Cicero respondit ad hæc,du côté qu'ils voudraient.
unum modo:,Cicéron
Non esse consuetudinem,répondit à ces paroles
"populi Romani,",une chose seulement:
accipere ullam conditionem,Ne pas être l'habitude
ab hoste armato;,"du peuple romain,"
"si velint discedere ab armis,",de recevoir quelque condition
utantur se adjutore,d'un ennemi armé;
mittantque legatos,"[armes,"
ad Caesarem:,s'ils voulaien s'éloigner des (déposer les)
"sperare,",qu'ils se servent de lui pour appui
"pro justitia ejus,",et envoyer des députés
imperaturos,à César :
qua petierint. »,"lui-même espérer,"
"XLII. Nervii,","selon la justice de lui (de César),"
"repulsi ab hac spe,",eue devoir obtenir
cingunt hiberna,ce qu'ils auraient demandé. »
vallo undecim pedum,"XLII. Les Nerviens,"
et fossa quindecim pedum.,"repoussés de (dégus dans) cet espoir,"
Et cognoverant hac,entourent les quartiers-d'hiver
a nostris,d'une palissade de onze pieds
consuetudine,et d'un fossé de quinze pieds.
"annorum superiorum,",Et ils avaient appris cela
"et, nacti osdam captivos",des notres
"de exercitu,",par l'habitude
docebantur ab his :,"des années récentes,"
"sed, nulla copia","et, s'étant procure quelques prisonniers"
"ferramentorum,",et. s'étant procure quelques prisonniers
"ferramentorum,","de notre armée,"
quæ sunt idones,ils étaient instruits par ceux-ci:
"ad hunc usum,","mais, nulle facilité n'étaient à eux"
cogebantur,"d'outils-de-fer,"
circumcidere cespitem,qui sont propres
"gladis,",à cet usage
exhaureire terram,ils étaient forcés
manibus sagulisque.,de couper le gazon
Ex qua quidem re,"avec leurs épées,"
multitudo hominum,d'enlever la terre
multitudinem,avec leurs mains et leurs sayons.
D'après laquelle circonstance en vérié
le grand-nombre de ces hommes,le grand-nombre de ces hommes
