Latin,Français
posteaquam homines feri ac barbari,après que ces hommes féroces et barbares
adamassentagros et cultum,s'étaient épris des terres et de la vie
"et copias Gallorum,","et des richesses des Gaulois,"
plures transductos;,de plus nombreux avoir été amenés-au-
nunc esse in Gallia,maintenant eux être en Gaule
ad numerum,jusqu'au nombre
centum et viginti millium;,de cent et vingt milliers;
Eduos clientesque eorum,les Éduens et les clients d'eux
contendisse armis cum his,avoir lutté par les armes avec ceux-ci
semel iterumque;,une-fois et une-seconde-fois;
pulsos,mais ayant été battus
accepisse,avoir regu (essuyé)
"magnam calamitatem,","un grand désastre,"
amississe,avoir perdu
"omnem nobilitatem,","toute leur noblesse,"
"omnem senatum,","tout leur sénat,"
omnem equitatum.,toute leur cavalerie.
Quibus proeliis,Par lesquels combats
calamitatibusque,et désastres
"fractos,","brisés,"
qui ante,euz qui auparavant
potuissent plurimum,avaient pu beaucoup
"in Gallia,","dans la Gaule,"
"et sua virtute,","et par leur propre valeur,"
et hospitio,et par les relations-d'hospitalité
"atque amicitia,",et l'amitié
"populi Romani,","du peuple romain,"
coactos esse dare obsides,avoir été forcés de donner des otages
"Sequanis,","aux Séquaniens,"
"nobilissimos civitatis,","les plus nobles de la cité,"
et obstringere civitatem,et de lier la cité
"jurejurando,","par un serment,"
sese neque repetituros,eux-mêmes et ne devoir pas réclamer
"obsides,","les otages,"
neque imploraturos,et ne devoir pas implorer
auxilium,du secours
"a populo Romano,","du peuple romain,"
neque recusaturos,et ne pas devoir refuser
quominus essent perpetuo,qu'ils ne fussent éternellement
sub ditione,sous la domination
atque imperio illorum.,et le commandement de ceux-là (les Sé
Se esse unum,Lui-même être le seul
"ex omniciavitatem,","de toute la cité des Éduens,"
qui non potuerit adduci,qui n'avait pu être amené
"ut juraret,","à ce qu'il jurât,"
ant daret suos liberos,ou donnât ses enfants
