Latin,Français
adortum subito,ayant assailli soudain
desperantes jam de pugna,qui désespéraient désormais d'une bataille
"ac dispersos,","et dispersés,"
vicsisse magis ratione,les avoir vaincus plutôt par système
et consilio,et par prudence
quam virtute.,que par valeur.
Ne ipsum quidem sperare,Pas même lui (Arioviste) n'espérait
nostros exercitus,nos armées
posse capi,pouvoir être pris
"hae, cui rationi","par ce plan, auquel plan"
locus fuisset,lieu (occasion) avait été
contra homines barbaros,contre des hommes barbares
atque imperitos.,et inexpérimentés.
Qui conferrent,Ceux qui reportaient
suum timorem,leur crainte
in simulationem,sur un faux-prétexte
rei frumentariæ,de provision de-blé
"angustinsque itinerum,","et des rétrécissements de chemins,"
"facere arroganter,","agir présomptueusement,"
quum viderentur,puisqu'ils paraissaient
ant desperare,ou désespérer
"de officio imperatoris,",de l'accomplissement-du-devoir du général-
aut præscribere.,ou donner-des-préceptes.
Hæc esse curæ sibi,Ces points être à souci à lui-même;
"Sequanos, Leucos,","les Séquaniens, les Leuces,"
"Lingonas,","les Lingons,"
subministrare frumentum;,fournir du blé;
jameque frumenta matura,et déjà des blés mûrs
esse in agris :,être dans les champs :
ipsos tempore brevi,eux-mêmes dans un temps court
judicaturos de itinere.,devoir juger de la route.
"Se commoveri nihil ea re,","Lui-même n'être ému en rien de ce fait,"
quod milites dicantrur,que les soldats étaient dits
"non fore audientes dicto,","ne devoir pas être obéissants à l'ordre,"
neque laturi signa :,et ne devoir pas porter en avant les en-
"scire enim,","en effet lui savoir,"
quibuscumque exercitus,tous ceux à qui une armée
"non fuerit audiens dicto,","n'avait pas été obéissante à la parole,"
"aut, re gesta male,","ou, une affaire (bataille) ayant été con-"
"fortunam defuisse,","la fortune leur avoir manqué,"
"ant, aliquo facinore","ou, quelque crime"
"comperto,","ayant été découvert,"
avaritiam convictam esse.,leur avarice avoir été démontrée.
Suam innocentiam,Sa propre intégrité
perspectam esse,avoir été prouvée
perspectam esse,"par toute-la-suite-de sa vie,"
felicitatem,et son bonheur
