Latin,Français
præesse iis.,être-à-la-tête d’eux.
Quibus rebus,Par lesquels faits
"vehementer commotus,","fortement ému,"
Cæsar existimavit,César jugea
"maturandum sibi,","diligence-devoir-être-faite à (par) lui,"
"ne, si nova manus","de peur que, si la nouvelle troupe"
Suevorum,des Suèves
esse conjunxisset,s’était jointe
cum vateribus copiis,avec les anciennes forces
Ariovisti,"d’Arioviste,"
posset resisti minus facile.,ilne pût-leur-être-résisté moins facilement.
Itaque re frumentaria,Aussi une provision de-blé
comparata,ayant été amassée
"celerrime quam potuit,","le plus vite qu’il put,"
contendit ad Ariovistum,il se dirigea vers Arioviste
magnis itineribus.,à grandes marches.
XXXVIII. Quum,XXXVIII. Lorsque
"processisset viam tridui,","il s’était avancé d’une route de-trois-jours,"
nuntiatum est ei,il fut annoncé à lui
Ariovistum,Arioviste
cum omnibus suis copiis,avec toutes ses troupes
contendere,se diriger
ad occupandum,pour s’emparer
"Vesontionem,","de Besançon,"
quod est,qui est
maximum oppidum,la plus grande ville
"Sequanorum,","des Séquaniens,"
processisseque suis finibus,et s’être avancé loin de ses frontières
viam tridui.,d’une route de trois-jours.
Cæsar existimabat,César pensait
præcavendum sibi,devoir être pris-garde à lui
magno opere,avec grand soin
ne id accideret :,que cela ne rrrivât pas :
namque summa facultas,car une très-grande abondance
omnium rerum,de toutes les choses
que erant usui ad bellum,qui étaient à utilité pour la guerre
erat in eo oppido ;,était dans cette place ;
idque muniebatur sic,et cette place était fortifiée ainsi
"natura loci,","par la nature du lieu,"
ut daret,qu’elle donnait
magnam facultatem,une grande facilité
"ad ducendum bellum,","pour prolonger la guerre,"
propterea quod,parce que
"flumen Dubis,","le fleuve du Doubs,"
"ut circumductum circino,","comme mené-tout-autour par un compas,"
cingit oppidum,ceint la ville
paene totum :,presque tout-entière :
