Latin,Français
"ut, sublevati","que, soutenus (se soutenant)"
"jabis equorum,","aux crinières des chevaux,"
adæquarent cursum.,ils égalaient leur course.
XLIX. Ubi Cæsar,XLIX. Dès que César
intellexit,vit
"eum se tenere castris,","lui (Arioviste) se tenir dans son camp,"
ne prohiberetur commeatu,afin qu'il ne fût pas privé de convois
"diutius,","plus longtemps,"
delegit locum,il choisit un lieu
idoneum castris,convenable à un camp
"ultra eum locum,","au dela de lieu,"
in quo loco,dans lequel lieu
"Germani consederant,","les Germains s'étaient établis,"
circiter sexcentos passus,environ à six-cents pas
"ab eis,","d'eux,"
"triplicique acie instructa,","[gée,"
venit ad eum locum.,et une triple ligne-de-bataille étant ran-
Jussit,il ordonna
primam et secundam aciem,la première et la seconde ligne
"esse in armis,","être (resté) en armes,"
tertiam mure castra.,la troisième fortifier le camp.
Hic locus aberat ab hoste,Ce lieu était-éloigné de l'ennemi
"circiter sexcentos passus,","environ de six-cents pas,"
uti dictum est.,comme il a été dit.
Ariovistus misit eo,Arioviste envoya la
circiter sedecim millia ho-,environ seize milliers d'hommes
numero,en nombre
[minum,dégagés (armés à la légère)
expedita,"avec toute la cavalerie,"
"cum omni equitatu,",lesquelles troupes
quæ copiæ,devalent effrayer les nôtres
perterrent nostros,et devaient les écraser de la fortification.
et prohiberent mutione.,"En rien moins (néanmoins) César,"
"Nihilo secus Cæsar,","En rien moins (néanmoins) César,"
"nt constituerat ante,","comme il l'avait établi auparavant,"
jussit duas acies,ordonna deux lignes
"propulsare hostem,","repousser l'ennemi,"
tertiam perficere opus.,la troisième achever le travail.
"Castris munitis,","Le camp ayant été fortifié,"
reliquit ibi duas legiones,il laissa la deux légions
reliquit ibi duas legiones,et une partie des troupes-auxiliaires ;
et partem auxiliorum;,il ramena les quatre autres
reduxit quatuor reliquas,dans le plus grand camp.
in majora castra.,"L. Le jour le plus proche (suivant),"
"L. Die proximo,","d'après son plan,"
"suo instituto,",César fit-sortir ses troupes
Cæsar eduxit suas copias,de l'un-ét-l'autre camp;
ex utrisque castris;,et s'étant porté-en-avant un peu
