Latin,Français
existimarent suam fugam,ils présument leur fuite
posse aut occultari,pouvoir ou être cachée
"aut omnino ignorari,","ou absolument être ignorée,"
egressi,étant sortis
ex castris Helvetiorum,du camp des Helvètiens
"prima nocte,","au commencement-de la nuit,"
contenderunt ad Rhenum,se dirigerent vers le Rhin
finesque Germanorum.,et le territoire des Germains.
XXVIII. Ubi Caesar,XXVIII. Dès que César
"resciit quod,","eut appris cela,"
imperavit his,il commanda à ceux
per fines quorum ierant,par le territoire desquels ils avaient marché
"uti conquirerent,","qu'ils les recherchassent,"
"et reducterent,",et les ramenassent.
si vellent esse,si vellent esse
sibi;,s'ils voulaient être
habuit in numero hostium,juste devant lui-
reductos;,il tint au nombre des ennemis
accept in deditionem,[même :
"omnès religuos,",euz raménés;
"obsidibus, armis,",il recut à soumission
perfugis traditis.,"tous les autres,"
"Jussit Helvetios,","des otages, les armes,"
"Tulingos, Latobrigos,",les transfuges ayant été livrés.
"reverti in suos fines,","Il ordonna les Helvètiens,"
"unde profecti erant,","les Tulinges, les Latobriges,"
"et quod, omnibus fructibus","retourner sur leur territoire,"
"amissis,","d'ou ils étaient partis,"
"nihil erat domi,","et parce que, toutes les récoltes"
"quo tolerarent famem,","ayant été perdues,"
imperavit Allobrogibus,"rien n'était à eux dans leur demeure,"
uti facerent iis,"avec quoi ils pussent supporter la faim,"
copiam frumenti ;,il commanda aux Allobroges
jussit ipsos,qu'ils fissent (fournissent) à eux
restituere oppida vicosque,provision de blé;
quos incenderant.,il ordonna eux-mêmes
"Fecit id ea ratione maxime,",rétablir les villes et les bourgs
"quod noluit eum locum,",qu'ils avaient incendiés.
"unde Helvetii discesserant,","Il fit cela par cette raison surtout,"
vacare;,"qu'il ne-vouloit-pas cette contrée,"
[rum,"d'ou les Helvètiens s'étaient éloignés,"
ne propter bonitatem agro-,rester-inoccupée;
"Germani,",de peur que à-cause-de la bonté des terres
"quiincolunttrans Rhenum,","les Germains,"
transirent e suis finibus,"qui habitaient au dela du Rhin,"
"in fines Helvetiorum,",ne passassent de leur territoire
"sur le territoire des Helvètiens,"
et essent fluitimi,et ne fussent limitrophes
provinciæ Galliæ,à la province de Gaule
Allobrogibusque.,et aux Allobroges.
