Latin,Français
proelium legionis delectae,le combat d'une légion choisie
cum equitatu,avec (contre) de la cavalerie
"fore sine ullo periculo,","devoir être sans aucun danger,"
tamen putabat,cependant il pensait
"non committendum ut,","que, ne pas devoir être risqué (qu'il ne fallait"
"hostibus pulsis,","les ennemis ayant été battus,"
posset dicī,il pût être dit
eos circumventos ab se,eux avoir été enveloppés par lui-même
in colloquio,dans un entretien
per fidem.,au-moyen-de la foi donnée.
Posteaquam elatum est,Après qu'il eut été divulgué
in vulgus militum,dans le commun des soldats
qua arrogantia usus,de quelle arrogance ayant fait-usage
in colloquio,dans l'entretien
Ariovistus,Ariovistus
interdixisset Romanis,avait interdit aux Romains
"omni Gallia,","toute la Gaule,"
equitesque ejus,et commen les cavaliers de lui
fecissent impetum,avaient fait irruption
"in nostros,","sur les nôtres,"
utque ea res,et comment cet événement
"diremisset colloquium,","avait rompu l'entretien,"
alacritas multo major,une ardeur beancoup plus grande
majusque studium,et un plus grand désir
pugnandi,de combattre
injectum est exercitu.,furent jetés-dans (inspirés à) l'armée.
XLVII. Biduo post,XLVII. Deux-jours après
Ariovistus mittit legatos,Ariovistus envole des députés
ad Cæsarem :,"à César, et fait dire :"
« Se velle agere cum eo,« Lui-mème vouloir traiter avec lui
"de his rebus,","touchant ces affaires,"
quæ ceptæ essent agi,qui avaient commencé à être traitées
"inter eos,","entre eux,"
neque perfectæ;,et n'avaient pas été achevées;
uti aut iterum,que ou de nouveau
constitueret diem,il fixât un jour
colloquio;,pour l'entretien;
"aut, si vellet minus id,","ou, s'il voulait moins (ne voulait pas) cela,"
mitteret ad se,qu'il envoyât vers lui-même
aliquem ex suis legatis. »,quelqu'un de ses lieutenants. »
Causa colloquendi,Un motif de conférer
"non visa est Cæsari,","ne parut pas à César exister,"
et eo magis,et d'autant plus
quod pridie ejus diei,que la veille de ce jour
Germani,les Germains
non poterant retineri,ne pouvaient se retenir (s'empêcher)
quin conjicerent tela,qu'ils ne jetassent des traits
