Latin,Français
sequitur hostes,il suit les ennemis
"intervallo quo consuerat, et ponit castra","à la distance à laquelle il avait-coutume, et place son camp"
tria millia passuum a castris corum:,à trois milliers de pas du camp d'eux.
a castris corum:,
"XXIII. Postridie ejus diei, quod biduum omnino supererat,","XXIII. Le lendemain de ce jour, parce que deux-jours en tout restaitient,"
"quum oporteret metiri frumentum exercitu, ac quod aberat","jusqu'au moment où il faudrait mesurer le blé à l'armée, et parce qu'il était-éloigné"
"de Bibracte,","de Bibracte,"
oppido longo maximo et copiosissimo,"ville de loin (beaucoup) la plus grande et la plus riche des Éduens,"
"non amplius decem et octo millibus passuum,","pas plus que de dix et huit milliers de pas,"
existimavit prospiciendum,il estima qu'il fallait pourvoir
"rei frumentarize,","à la provision de-blé,"
avertit iter ab Helvetiis,détourné sa route des Helvètiens
ac contendit ire Bibracte.,etse-mit-en-marche pour aller àBibracte.
"Ea res nuntiatar hostibus per fugitivos L. Emili,","Ce fait est annoncé aux ennemis par des déserteurs de L. Emilius,"
decurionis,décurion
equitum Gallorum.,des cavaliers gaulois.
"Helvetii,","Les Helvètiens,"
seu quod existimarent,soit qu'ils pensassent
Romanos perterritos timore,les Romains frappés de crainte
"discedere a se,","s'éloigner d'eux,"
"eo magis quod pridie,","d'autant plus que la veille,"
"locis superioribus occupatis,",des lieux plus élevés
"occupatis,","ayant été occupés,"
non commovissent,ils n'avaient pas mis-en-branle
"proclium,","le combat,"
sive eo quod confiderent,soit parce qu'ils avaient-confiance
posse intercludi,les Romains pouvoirs être coupés
"re frumentaria,","de la provision de-blé,"
consilio commutato,leur dessin ayant été changé
"atque itinere converso,","et leur route retournée,"
cooperunt insequi,commencerent à poursuivre
ac lacessere nostros,et à harceler nos soldats
a novissimo agmine.,du dernier corps.
XXIV. Post quam,XXIV. Après que
"advertit animum id,",il eut tourné son esprit vers (ent remar...
Cæsar subducit suas copias,César retire ses troupes
"in collem proximum,","sur la colline la plus proche,"
"misitque equitatum,","et il envoya la cavalerie,"
