Latin,Français
sed consilium commune Galliae,mais une résolution commune de la Gaule
esse;,exister;
hunc diem dictum esse,ce jour-là avoir été dit (fixé)
oppugnandis,pour attaquer
omnibus hibernis,"tous les quartiers-d'hiver de César,"
"Césaris,",afin que quelque légion
ne qua legio,ne pût pas venir au secours
posset venire auxilio,à une d'une autre légion :
alteræ legioni,des Gaulois n'avoir pas pu facilement
Gallos non potuisse facile,"faire-refus à des Gaulois,"
"negare Gallis,",surtout
præsertim,quand une résolution
quum consilium,paraissait abordée (prise)
videretur initium,pour reconqver
de recuperanda,la liberté commune.
libertate communi.,Auxquels
Quibus,puisqu'il avait satisfait
Quoniam satisfecerit,"en-raison-de son amour pour son pays,"
"pro pietate,",maintenant lui-même
nunc se,avoir (tenir) compte de son devoir
habere rationem officii,en-raison-des bienfaits de César ;
pro beneficiois Cæsaris,"avertir, prior Titurius"
"monere, orare Titurium","au-nom-de leurs relations-d'hospitalité,"
"pro hospitio,",qu'il pourvoie à son orgeere salut
ut consulat sum saluti,et à ceux des soldats :
ac militum :,une grande troupe
magnam manum,de Germains
Germanorum,louée (prise à solde)
conductam,avoir passé le Rhin;
transisse Rhenum,celle-ci devoir être-présente
hanc adfore,dans deux-jours.
biduo.,La résolution appartenir à eux-mêmes(c'és-
Consilium esse ipsorum.,"s'ils voulalent,"
"velintne,",avant que les peuples voisins
prius quam finitimi,"en aperçoivent,"
"sentiant,",conduire les soldats
deducere milites,emmenés des quartiers-d'hiver
eductos ex hibernis,ou auprès de Ciceron
aut ad Ciceronem,"ou auprès de Labiénus,"
"aut ad Labiénus,",dont l'un était-éloigné d'eux
quorum alter absit ab his,de cinquante milliers
quinquaginta millin,de pas
passuum,"environ,"
"circiter,",l'antre d'un peu plus.
alter paulo amplius.,Lui-même promettre
