Latin,Français
"controversias perpetuas, quinam anteferretur, omnibusque annis contendebant de loco summis simultatibus","des démêlés continuels, pour savoir lequel serait préféré, et tous les ans ils rivalisaient pour le rang avec d'extrêmes inimitiés."
"Ex iis Pulfion, quum pugnaretur acerrime ad munitiones.","De ceux-ci Pulfion, comme on combattrait très-ardemment auprès des retranchements :"
"Quid dubitas, inquit, Varene?","« Pourquoi hésites-tu, dit-il, Varenus?"
aut quem locum probandae tue virtutis spectas?,aut que locum probande tue virtutis spectas?
"hic, hic dies judicabit de nostris controversiis.","hic, hic dies judicabit de nostris controversiis."
"Quum dixisset haec, procedit extra munitiones, quaque pars hostium visa est confertissima, irrumpe in eam.","Comme il avait dit ces mots, il s'avance hors des retranchements, et par où une partie des ennemis parut la plus serrée, il s'élanç sur cette partie."
"Ne Varenus quidem tum sese continet vallo,","Pas même Varenus alors ne sétient-enfermé dans le retranchement,"
sed veritus,mais craignant
existimationem omnium subsequitur.,l'opinion de tous
"Mediocris spatielicto,",il suit-de-près.
Pulfio mittit pilum in hostes,"Une courte distance étant laissée, Pulfion envoie son javelot contre les ennemis"
atque transjicit,et en traverse
unum ex multitudine,un de la multitude
"procurrentem,","qui courait-en-avant,"
"quo percusso et exanimato,","lequel ayant été frappé et tué,"
"hostes protegunt hunc scutis,",les ennemis protégent celui-ci (le mort)
"universi conjiciunt tela in illum,","de leurs boucliers,"
neque dant,"tous lancent-ensemble des traits contre celui-là (Pulfion),"
facultatem regrediendi.,et ne lui donnent (laissent) pas la facilité de retourner.
Scutum transfigitur,Le bouclier est percé
Pulfioni,à Pulfion
et verutum,et le dard
dentur in balteo.,se fiche dans le baudrier.
Hic casus avertit vaginam,Cet accident détourne le fourreau
et moratur,et retarde
manum dextram,la main droite
conanti,à lui s'efforçant
educere gladium.,de tirer son épée.
