Latin,Français
dixit non irridicule,dit non d'une façon-déplaisante
* Cæsarem facere plus quam pollicitus esset;,* César faire plus qu'il n'avait promis;
pollicitum se habiturum decimam legionem,qu'il avait promis lui-même devoir avoir
"in loco cohortis prætoriæ,",la dixième légion
nunc rescribere,"en place de cohorte prétorienne,"
ad equum.,maintenant les inscrire-de-nouveau
"XLIII. Magna planities erat,","pour un cheval (dans la cavalerie). """
"erat,","était,"
et in ea tumulus terrenus satis grandis.,et dans elle un tertre de-terre assez grand.
Hic locus aberat fere spatio æquo,Ce lieu était-éloigné
ab utrisque castris.,à-peu-près d'un espace égal
"Venerunt eo ad colloquium,",de l'un-ét-l'autre camp.
ut dictum erat.,Ils vinrent là
Cæsar constituit ducentis passibus,"pour l'entretien,"
ab eo tumulo legionem quam devexerat equis.,comme il avait été dit.
Item equites Ariovisti,César établit
constiterunt,à deux-cents pas
pari intervallo.,de ce tertre
"Ariovistus postulavit ut colloquerenturex equis,",la légion
et adducerent,qu'il avait amenée sur des chevaux.
ad colloquium,De même les cavaliers d'Arioviste
"denos, præter se.",s'arrêtèrent
"Ubi ventum est eo,",à pareil intervalle.
Cæsar initio orationis,Arioviste demanda
commemoravit beneficia,qu'ils s'entretinssent de dessus leurs che-
sua senatusque,et amenassent
in eum :,à l'entretien
"« Quod appellatus est rex a senatu,","chacun dix hommes, outre eux-mêmes."
"quod amicus,","Des qu'on fut venu là,"
quod munera amplissima missa;,César au commencement de son discours
quam rem docebat,rappela les bienfaits
"et contigisse paucis,",de-lui-même et du sénat
et consuesse tribui,envers lui (Arioviste) :
pro magnis officiis,« Qu'il avait été appelé
hominum.,"roi par le sénat,"
"Illum, quum haberet","qu'il avait été appelé ami,"
"Lui, tandis qu'il n'avait",que des présents très-considérables
lui asciens été envoyés;,lui asciens été envoyés;
laquelle chose il lui apprenait,laquelle chose il lui apprenait
"et être échue à peu-d'hommes,","et être échue à peu-d'hommes,"
et avoir-coutume d'être accordée,et avoir-coutume d'être accordée
pour les grands services,pour les grands services
de certains hommes.,de certains hommes.
"Lui, tandis qu'il n'avait","Lui, tandis qu'il n'avait"
