Latin,Français
ducentat quadraginta,deux-cents et quarante
in latitudinem,"milliers de pas,"
centum et octoginta.,en largeur
III. Adducti,cent et quatre-vings milliers.
"his rebus,",III. Amenés (déterminés)
et permoti,"par ces motifs,"
"auctoritate Orgetorigis,",et ébranlés
constituerunt,"par l'autorité d'Orgétorix,"
"comparare ea,",ils résolurent
qua pertinereent,"de préparer ces (les) objets,"
ad proficiscendum;,qui se rapportaient
coemere numerum,à partir (au départ);
quam maximum,d'acheter un nombre aussi grand
jumentorum et carrorum;,qu'ils pouvaient acheter le plus grand
facere sementes,de bêtes-de-somme et de chariots;
"quam maximas,",de faire des semailles aussi grandes
ut copia frumenti,"qu'ils pouvaient faire les plus grandes,"
suppeteret in itinere;,afin qu'abondance de blé
confirmare pacem,fût-sous-la-main dans la route;
et amicitiam,d'affermir la paix
cum civitatibus proximis.,et l'amitié
Duxerunt biennium,avec les cités les plus proches.
esse satis sibi,Ils estimèrent un espace-de-deux-ans
ad conficiendas eas res;,être assez pour eux-mêmes
confirmant lege,pour achever ces choses;
profectionem,ils sanctionnent par une loi
in tertium annum.,leur départ
Orgetorix deligitur,pour la troisième année.
ad conficiendas eas res.,Orgétorix est choisi
"Is, ubi suscepit",pour achever ces choses.
"legationem ad civitates,","Celui-ci, dès qu'il eut entrepris"
in eo itinere,"une ambassade vers les cités,"
"persuadet Castico,",dans ce voyage
"filio Catamantaledis,","persuade à Casticus,"
"Sequano, cujus pater","fils de Catamantaledis,"
obtinuerat regnum,"Séquano, dont le père"
in Sequanis,avait occupé la royauté
"multos annos,",chez les Séquaniens
et appellatus erat amicus,"pendant de nombreuses années,"
et appellatus erat amicus,et avait été appelé ami
"a senatu populi Romani,","par le sénat du peuple romain,"
ut occuparet in sua civitate,qu'il s'emparât dans sa cité
regnum quod pater,de la royauté que son père
habuerat ante;,avait eue auparavant;
itemque persuadet,et de même il persuade
"Dumnorigi Eduo,",à Dumnorigi l'Éduen.
"fratri Divitiaci,","frère de Divitiacus,"
