Latin,Français
"in fines Æduorum, populabanturque agros eorum.","sur le territoire des Éduens, et ravageaient les terres d'eux."
"Ædni, quum non possent defendere ab iis se suasque, mittunt legatos ad Cæsarem","Les Éduens, comme ils ne pouvaient pas défendre contre eux leurs possessions, envoient des députés vers César"
rogatum auxilium :,"demander du secours, disant :"
"« Se meritos esse ita de populo Romano omni tempore, ut agri eorum non debuerint vastari pene in conspectu nostri exercitus, liberi abduci in servitutem, oppida expugnari. »","« Eux-mêmes avoir mérité ainsi du peuple romain en tout temps, que les terres d'eux n'aient pas du être devastées presque à la vue de notre armée, leurs enfants être emmenés en esclavage, leurs villes être prises-de-force. »"
"Eodem tempore Ambarri, necessarii et consanguinei","Dans le même temps les Ambarres, alliés et parents"
"des Éduens,","des Éduens,"
faciunt Cæsarem certiorem,font César mieux-informé
"sese, agris depopulatis, non prohibere facile","(informent eux-mêmes, leurs terres ayant été ravagées ne pas écarter facilement"
ab oppidis,de leurs villes
vim hostium :,la violence des ennemis :
item Allobroges,de même les (ceux des) Allobroges
qui habebant,qui avaient
trans Rhodanum,au delà du Rhône
vicos possessionesque,des bourgs et des biens
se recipiunt ad Cæsarem,se retirent vers César
"fuga,","par la fuite,"
et demonstrant,et lui exposent
nihil reliqui esse sibi,rien de reste n'être à eux-mêmes
præter solum agri.,excepté le sol nu de leur territoire.
"Quibus rebus adductus,","Par lesquels faits améné (déterminé,"
Cæsar statuit,César résolut
non exspectandum sibi,ne devoir pas être attendu par lui
"dum, omnibus fortunis","que, tous les biens"
sociorum,des alliés
"consumptis,","ayant été épuisés,"
Helvetii,les Helvètiens
pervenirent in Santones.,arrivassent chez les Santons.
"XII. Est flumen Arar, quod influit in Rhodanum per fines Éduorum et Sequanorum","XII. Il est une rivière, la Saône, qui coule pour se jeter dans le Rhône à travers le territoire des Éduens et des Séquaniens"
