Latin,Français
committebant nihil,ils ne commettaient rien
quod esset indignum ipsis.,qui fût indigne d'eux-mêmes.
Tam utrumque femur,Alors l'une-et-l'autre cuisse
transjicitar tragnla,est traversée par une javeline
"T. Balventio,","à T. Balventius,"
qui anno superiore,qui l'année précédente
"duxerat primum pilum,",avait conduit la première
vire forti,compagne
et magnæ auctoritatis;,et d'une grande considération;
"Q. Lucanius,","Q. Lucanius,"
"ejusdem ordinis,","du même rang (grade),"
"pugnans fortissime,","combattant tres-bravement,"
dum subvenit,tandis qu'il secourt
"filio circumvento,","son fils enveloppé,"
interficitor;,est tué ;
"L. Cotta, legatus,","L. Cotta, lieutenant,"
adhortans omnes cohortes,exhortant toutes les cohortes
"ordinisque,","et tous les rangs,"
vulneratur funda,est blessé par une fronde
in os adversum.,au visage par-devant.
XXXVI. Permotus,XXXVI. Emu
"his rebus,","de ces événements,"
"Q. Titurius,","Q. Titurius,"
quum conspexisset procul,comme il avait aperçu de loin
Ambiorigem,Ambiorix
"cohortantem suos,","exhortant les siens,"
mittit ad eum,envoie vers lui
"suum interpretum,","son interprète,"
"Cn. Pompeium,","Cn. Pompée,"
rogatum ut parcat,le prier qu'il épargne
sibi militibusque.,lui-même et les soldats.
Ille interpellatus respondit:,Celui-ci interpellé répondit :
« Si velit,« Si Titurius voulait
"colloqui secum,","s'entretenir avec lui-même,"
licere;,cela être-permis;
sperare,lui-même espérer
quod pertinest,ce qui avait-rapport
ad salutem militum,au salut des soldats
posse imperari,pouvoir être obtenu
a multitudine;,de la multitude ;
iri vero nociturum,mais on n'irait faire-de-mal
"ipsi nihil,","à lui en rien,"
ipsi eam rem,et pour ce point
se interponere,lui-même interposer (engager)
suam fidem.,sa parole.
Ille communicat,Celui-là (Titurius) propose
"cum Cotta saucio,",à Cotta blessé
