Latin,Français
magnis premiis,par de grandes récompenses
exsules damnatosque.,les exilés et les condamnés.
Ac jam iis rebus,Et déjà par ces choses
comparaveratisibi in Gallia,il avait acquis pour lui-même en Gaule
"tantam auctoritatem,","une si-grande autorité,"
ut undique legationes,que de-toutes-parts des députations
"concurrerent ad eum,","affluent vers lui,"
petent publice,lui demandaient au-nom-de-leur-peuple
privatimque,et en-leur-nom-particulier
gratiam atque amicitiam.,sa faveur et son amitié.
LVI. Ubi intellexit,LVI. Dès qu'il eut compris
"veniri ultro ad se,",qu'on venait spontanément vers lui
ex altera parte,d'un côté
Senones Carnutesque,les Sénonais et les Carnutes
instigari,être animés
"conscitía facinoris,","par la conscience de leur attentat,"
altera,de l'autre
Nervios Aduatucosque,les Nerviens et les Aduatiques
"parare bellum Romanis,","préparer la guerre aux Romains,"
neque copias,et les troupes
voluntariorum,de volontaires
"defore sibi,","ne pas devoir manquer à lui-même,"
si cepisset,s'il avait commencé
"progredi ex suis finibus,","à s'avancer hors de son territoire,"
indicit concilium armatum,il indique une assemblée armée
(hoc est initium belli,(c'est le commencement de la guerre
"more Gallorum),","dans la coutume des Gaulois),"
quo lege communi,où par une loi commune
omnes puberes,tous ceux
consuerunt convenire,dans-l'âge-de-la-puberté
armati :,ont coutume de se rassembler
qui venit novissimus ex iis,tout-armés;
necatur,celui qui est arrivé le dernier d'entre
affectus,est mis-à-mort
omnibus cruciatibus,accablé
in spectu multitudinis.,de tous les tourments
In eo concilio,en vue de la multitude.
indicat hostem,Dans cette assemblée
"Cingetorigem,",il juge (déclare) ennemi public
principem,"Cingétorix,"
"alterius factionis,","chef de l'autre parti,"
"suum generum,","son genre,"
quem demonstravimus,que nous avons indiqué
"supra,","ci-dessus,"
"secutum fidem Cæsaris,","ayant suivi la cause de César,"
"non discessisse ab eo,","ne s'être pas séparé de lui,"
publicatque bona ejus.,et confisque les biens de lui.
