Latin,Français
unum Indutiomarum,au seul Indutiomare
neu quis vulneret quem,ou (et) que personne ne blesse personne
prins quam viderit,avant qu'il n'ait vu
"illum interfectum,","celui-là tué,"
quod nolébat illum,parce qu'il ne-voulait-pas celui-là
nactum spatium,ayant trouvé de l'espace (du temps)
mora reliquorum,par le retard des (causé par les) autres
effugere,échapper;
proponit magna premia,il propose de grandes récompenses
iis qui occiderint,à ceux qui l'auraient tué :
submittit cohortes,il envoie des cohortes
subsidio equitibus.,à appui aux (pour appuyer les) cavaliers.
Fortuna comprobat,La fortune prouve la bonté
"consilium hominis,","de la mesure de l'homme,"
et quum omnes,et comme tous
"peterent unum,","s'attachaient à un seul,"
"Indutiomarus, deprehensus","Indutiomare, saisi"
"in vado ipso fluminis,","dans le gué même du fleuve,"
"intericitur,","est tué,"
caputque ejus,et la tête de lui
refertur in castra :,est rapportée dans le camp :
equites redeuntes,les cavaliers revenant
consectantur,poursuivent
atque occidunt,et tuent
quos possunt.,ceux qu'ils peuvent.
"Hac re cognita,","Cet événement étant connu,"
omnes copias,toutes les troupes
"Eburonum et Nerviorum,","des Éburons et des Nerviens,"
"quae convenerant,","qui s'étaient rassemblées,"
discedunt;,se dissipent;
postque id factum,et après cela fait
César habuit Galliam,César eut (vit) la Gaule
paulo quietiorem.,un peu plus tranquille.
