Latin,Français
qujus majores,dont les ancêtres
obtinuerant regnum,avaient possédé la royauté
in sua civitate.,dans leur cité.
César restituert huic,César avait rendu à celui-ci
"locum majorum,","le poste de ses ancêtres,"
pro virtute ejus,en raison de la valeur de lui
atque benevolentia,et de sa bonne-volonté
"in se,","envers lui-même (César),"
quod in omnibus bellis,parce que dans toutes les guerres
usus fuerat,il avait usé
opera singulari ejus.,d'une aide toute-particulière de lui.
"Inimici,","Ses ennemis,"
mults etiam ex civitate,beaucoup même de la cité
"auctoribus palam,","étant fauteurs ouvertement,"
"interfecerunt eum,","tuèrent lui,"
regnantem hunc annum,qui régnaît cette année-là
jam tertium.,déjà la troisième.
Ea res,Ce fait
defertur ad Cæsarem.,est rapporté à César.
"Ille veritus,","Celui-ci ayant craint,"
"quod pertinebat ad plures,",parce que la culpabilité s'étendait à plu-
ne civitas deficeret,que la cité ne fit-défection
"impulsu eorum,","à l'instigation d'eux,"
jubet L. Planoum,ordonne L. Planoum
cum legione,avec sa légion
proficisci oeleriter,partir promptement
ex Belgio,du Belgique
in Carnutes,chez les Carnutes
"hiemareque ibi,","et hiverner là,"
mittereque ad se,et envoyer vers lui-même
comprehensos,saisir (après les avoir arrêtés)
hos opera quorum,ceux par le ministère desquels
cognoverit,il aurait appris
Tasgetium interfectum.,Tasgetius avoir été tué.
Interim,Cependant
factus est certior,il fut fait mieux-informé (apprit)
ab omnibus legatis,de tous les lieutenants
"quæstribusque,","et les questeurs,"
quibus transdiderat,auxquels il avait remis
"legiones,","les légions,"
perventum in hiberna,qu'on était arrivé dans les quartiers-d'bi-
locumque munitum esse,et qu'un emplacement avait été fortifié:
hibernis.,pour les quartiers-d'hiver.
XXVI. Circoiter,XXVI. Environ
"quindecim diebus,","au bout des quinze jours,"
quibus ventum est,au bout desquels on était arrivé
in hiberna.,"dans les quartiers-d'hiver,"
