Latin,Français
fuerit non suspecta nobis.,ne fat non suspecte à nous.
Handque scio,Et je ne sais pas
"idne sit adeo mirandum,","si cela est tellement étonnant,"
quum de allis cansis,et pour d'autres raisons
"compluribus,","nombreuses,"
"tum maxime, quod",et surtout parce que
qui virtute belli,ces peuples qui par le courage de la guerre
preferebantur,étaient mis-au-dessus
omnibus gentibus,de toutes les nations
dolebant gravissime,s'affligeaient très-fortement
se doperdidisse tantum,eux-mêmes avoir perdu tant
"ejus opinionis,","de cette réputation,"
ut perferrent imperia,qu'ils supportassent des ordres
a populo Romano.,de-la-part-du peuple romain.
LV. Treviri vero,LV. Mais les Trévires
atque Indutiomarus,et Indutiomare
intermiserunt,ne laisserent-passer
nullum tempus,aucun moment
"totius hiemis,","de tout l'hiver,"
quin mitterent legatos,sans qu'ils envoyassent des députés
"trans Rhenum,","au dela du Rhin,"
"sollicitarent civitates,","sollicitassent les cités,"
"politicarentur pecunias,","promissent des sommes-d'argent,"
"dicerent,","dissent,"
magna parte,une grande partie
nostri exercitus,de notre armée
"interfecta,","ayant été massacrée,"
partem multo minorem,une partie de beaucoup la plus petite des
superesse.,rester.
Neque tamen,Et cependant
potuit persuaderi,il ne put être persuadé
ulli civitati Germanorum,à aucune cité des Germains
"ut transiret Rhenum,","qu'elle passât le Rhin,"
quum dicerent,vu qu'ils disaient
"se expertos bis,","eux-mêmes avoir éprouvé deux-fois,"
bello Ariovisti,par la guerre d'Arioviste
"et transitu Tenchtherorum,","et par le passage des Tenchthères,"
fortunam,la fortune
non tentandam esse,ne devoir pas être tentée
amplius.,davantage.
"Lapsus hac spe,","Dechu de cet espoir,"
Indutiomarus,Indutiomare
nihilominus cepit,néanmoins commença
"cogere copias,","à rassembler des troupes,"
"exercere,","à les exercer,"
"parare equos a finitimis,",à acquérir des chevaux des peuples voisins
allicere ad se tota Gallia,à attirer vers lui de toute la Gaule
tota Gallia,toute la Gaule
