Latin,Français
qui sustineret,qui devait (pour) soutenir
impetum hostium.,le choc des ennemis.
Ipse interim,Lui-même cependant
instruxit in medio colle,rangea au milieu-de la colline
triplicem aciem,une triple ligne
quatuor legionum,de quatre légions
"veteranorum,","de vétérans,"
ita uti collocaret,de-telle-sorte qu'il placât
supra se,au-dessus de lui-même
in jugo summo,sur le sommet le plus haut
"dnas legiones,","les deux légions,"
quas conscripserat proxime,qu'il avait enrôlées dernièrement
"in Gallia citeriore,","dans la Gaule citeriore,"
et omnia auxilia :,et toutes les troupes-auxiliaires :
ao jussit totum montem,et il ordonna toute la montagne
"compleri hominibus,","être remplie d'hommes,"
et interea sarcinas,et pendant-ce-temps les bagages
"conferri in unum locum,","être réunis dans un seul endroit,"
et eum muniri,et cet endroit être retranché
ab his qui constiterant,par ceux qui avaient-pris-place
in acie superiore.,dans la ligne-de-bataille la plus élevée.
"Helvetii, secuti","Les Helvètiens, ayant suivi les Romains"
"cum omnibus suis carris,","avec tous leurs chariots,"
contulerunt impedimenta,réunirent leurs bagages
in unum locum;,dans un seul endroit;
"ipsi, nostro equitatu","eux-mêmes, notre cavalerie"
rejecto,ayant été repoussée par eux
"acie confertissima,","en ligne très-serrée,"
"phalange facta,","la phalange étant formée,"
successerunt sub,s'avancèrent sous (près de)
nostram primam aciem.,notre première ligne.
"XXV. César,","XXV. César,"
"suo primum,","son cheval d'abord,"
deinde equis omnium,puis les chevaux de tous
"remotis ex conventu,","ayant été éloignés de la vue,"
ut periculo omnium æquato,afin que le péril de tous étant rendu-égal
"tolleret spem fugæ,","il ôtât l'espoir de la fuite,"
"cohortatus suos,","ayant exhorté les siens,"
commisit proelium.,engagea le combat.
"Milites, pilis missis","Les soldats, des javelots étant lancés"
"e loco superiore,","d'un lieu plus élevé,"
perfregerunt facile,rompirent facilement
phalangem hostium.,la phalange des ennemis.
"Ea disjecta,","Celle-ci ayant été dispersée,"
gladis destrictis,les épées étant tirées
ficerunt impetum in eos.,ils firent irruption sur eux.
Erat magno impedimento,Ceci était a grand embarras
