Latin,Français
**Iter faciendum sibi.**,route devoir être faite par lui-même.
"**Scribit Labieno, si posset facere commodo reipublicae, veniat cum legione ad fines Nerviorum : non putat pariem reliquam exercitus exspectandam, quod aberat paulo longius; cogit ex hibernis proximis quadringentos equites circiter.**","Il écrit à Labienus, s'il pouvait faire avec le bien de la république, qu'il vienne avec sa légion vers le territoire des Nerviens ; il ne pense pas la partie restant (le reste) de l'armée devoir être attendue, parce qu'elle était un peu trop loin ; il rassemble des quartiers-d'hiver les plus proches quatre-cents cavaliers environ."
"**XLVII. Tertia hora circiter factus certior ab autecussoribus de adventu Crassi, progreditur eo die viginti millia passuum. Praeficit Samarobriva Crassum, attribuitque ei legionem, quod relinquebat ibi impedimenta exercitus, obsides civitatum, litteras publicas omneque frumentum quod devererat eo causa tolerandae hiemis.**","XLVII. À la troisième heure environ fait mieux-informé (averti) par des courriers de l'arrivée de Crassus, il s'avance ce jour-là de vingt milliers de pas. Il met-à-la-tête-de Samarobriva Crassus, et donne à lui une légion, parce qu'il laissait là les bagages de l'armée, les otages des cités, les papiers publics et tout le blé qu'il avait transporté là en vue de passer l'hiver."
"**Fabius, ut imperatum erat, non moratita multum, occurrit cum legione in itinere.**","Fabius, comme cela lui avait été commandé, n'ayant pas tardé beaucoup (sans vient-à-récontre avec la légion pendant la marche."
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
"**Labienus, interitu Sabini interitu Sabini et cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret**","Labienus, la mort de Sabinus et la cæde cohortum cognita, veritus ne, si fecisset profectionem ex hibernis simillem fugas, non posset sustinere impetum hostium, præsortim quos sciret"
**cum legione in itinere.**,avec sa légion pendant la marche.
