Latin,Français
affore celeriter,devoir arriver promptement
hortur ut retineat pristinam virtutem.,il exhorta Ciceron à ce qu'il conserve
"Gallus, veritus periculum, mittit turgulam,",son ancienne valeur.
ut preceptum erat.,"Le Gaulois, ayant craint le danger,"
"Hæc casu adhæsit ad turrim, neque animadversa","envoie la javeline,"
a nostris,comme il avait été prescrit.
"fiduo, consplicitur tertio die a quodam milite;",Celle-ci par hasard
dempta defertur ad Ciceronem.,"s'attacha à une tour,"
"Ille recitat in conventu militum perfectam,",et non remarquée
afficitque omnes maxima laetitia.,par les nôtres
"Tum fumi incendiorum videbantur procul,",pendant deux-jours.
quæ res expulit omnem dubitatio-,est apergue le troisième jour
adventus legionum.,par un certain soldat;
"XLIX. Galli, re cognita per exploratores,",enlevée
"relinquent obsidionem,",elle est portée à Ciceron.
contendant ad Cæsarem omnibus copiis :,Celui-ci lit-à-haute-voix
sexaginta millia armatorum.,dans une réunion des soldats
"Ciceron, facultate data, repetit",la lettre lue-jusqu'au-bout d'abord pa-
"ab eodem Verticone, quem demonstravimus supra,",et les comble tous
"Gallum, qui referat litteras ad Cæsarem :",de la plus grande joie.
admonet hunc faciat iter cante,Alors des fumées d'incendies
diligenterque :,"étaient vues au loin,"
perscribit in litteris hostes discessisse ab se,laquelle circonstance
hostes discessisse ab se,bannit tout doute
les ennemis s'être éloignés de lui-même,de (au sujet de) l'arrivée des légions.
"XLIX. Les Gaulois, l'affaire étant connue","XLIX. Les Gaulois,"
"au-moyen-de leurs éclaireurs,",l'affaire étant connue
"abandonnent le siège,","au-moyen-de leurs éclaireurs,"
se dirigent vers César,"abandonnent le siège,"
avec toutes leurs troupes :,se dirigent vers César
celles-ci étaient en viron,avec toutes leurs troupes :
soixante milliers de gens armés.,celles-ci étaient en viron
"Ciceron, la facilité lui en ayant été donnée,",soixante milliers
demande-de-nouveau,de gens armés.
"au même Verticone,","Ciceron, la facilité lui en ayant été donnée,"
"que nous avons indiqué ci-dessus,",demande-de-nouveau
"ci-dessus,","au même Verticone,"
"un Gaulois,","que nous avons indiqué ci-dessus,"
qui porte (pour porter)-de-nouveau une,"un Gaulois,"
à César :,qui porte (pour porter)-de-nouveau une
il avertit celui-ci (le messager),à César :
qu'il fasse route,il avertit celui-ci (le messager)
et aveo-diligence :,qu'il fasse route
il écrit dans sa lettre,et aveo-diligence :
les ennemis s'être éloignés de lui-même,il écrit dans sa lettre
les ennemis s'être éloignés de lui-même,les ennemis s'être éloignés de lui-même
