Latin,Français
"efferri victoria recenti, remittit litteras Cæsari, cum quanto periculo edocturus esset legionem ex hibernis :","être exaltés par une victoire récente, envoie-en-réponse une lettre à César, disant avec quel-grand danger il ferait-sortir sa légion de ses quartiers-d'hiver :"
perscribit rem gestam in Eburonibus:,il lui écrit-d'un-bout-à-l'autre
rem gestam in Eburonibus:,l'événement arrivé chez les Éburons :
docet omnes copias equitatus peditatusque,il lui apprend toutes les troupes de cavalerie et d'infanterie
Trevirorum consedisse,des Trévires
tria millia passuum longe ab suis castris.,s'être établies
longe ab suis castris.,à trois milliers de pas loin (de distance) de son camp.
"XLVIII. César, consilio ejus probato, etsi, dejectus opinione","XLVIII. César, la résolution de lui étant approuvée, quoique, dépu dans l'attente de trois légions,"
"trium legionum, redierat ad duas, tamen ponebat in celeritate unum auxilium","il était revenu (en était réduit) à deux, cependant faisait-reposer sur la célérité la seule ressource"
salutis communis.,du salut commun.
Venit magnis itineribus in fines Nerviorum.,Il va à grandes marches sur le territoire des Nerviens.
Ibi cognoscit ex captivis quæ gerantur,Là il apprend des prisonniers ce qui se passait
"apud Ciceronem, inque quanto periculo res sit.","auprès de Cicéron, et dans quel-grand danger la situation était."
Tum persuadet magnis præmis,Alors il persuade
cuidam ex equitibus Gallis uti deferat epistolam ad Ciceronem.,par de grandes récompenses à un certain d'entre les cavaliers galois qu'il porte une lettre à Cicéron.
"Mittit hanc conscriptam litteris Graccis, ne, epistola intercepta, nostra consilia cognoscantur ab hostibus.","Il envoie-elle-ci écrite en caractères grecs, de peur que, la lettre étant interceptée, nos dessins ne soient appris des ennemis."
"Si non possit adire, monot ut abjiciat intra munitiones castrorum tragulam cum epistola, deligata ad amentum.","Si il ne pouvait aborder le camp, il l'avertit qu'il lance en dedans des retranchements du camp une javeline avec la lettre, attachée à la courroie."
Scribit in litteris se protectum cum legionibus,Il écrit dans la lettre lui-même parti avec les légions
