Latin,Français
nam verebatur,car il craignait
ne supplicio ejus,que par le supplice de lui
offenderet,il n'offensât
animam Divitiaci.,le cœur de Divitiacus.
"Itaque,","En-conséquence,"
priusquam conaretur,avant qu'il n'entreprit
"quidquam,","quoi-que-ce-fût,"
jubet Divitiacum,il ordonne Divitiacus
"vocari ad se,","être appelé vers lui,"
"et, interpretibus quotidie-","et, les interprètes de-chaque-jour"
"remotis,","ayant été écartés,"
colloquitur cum eo,il s'entretient avec lui
"per C. Valerium Procillum,",par-l'intermédiaire-de C. Valérins Pro-
principem,le premier
"provinciæ Galliæ,","de la province de Gaule,"
"suum familiarem,","son familier,"
cui habebat fidem suam,en qui il avait la confiance la plus haute
omnium rerum;,de (en) toutes choses;
simul commonefacit,en-même-temps il lui rappeille
quæ dicta sint,quelles choses avaient été dites
"de Dumnorige,","de Dumnorige,"
"ipso præsente,","lui-même (Divitiacus) étant présent,"
"in concilio Gallorum,","dans le conseil des Gaulois,"
et ostendit quæ quisque,et lui découvre quelles choses chacun
dixerit separatim apud se,avait dites séparément auprès de lui
de eo:,sur lui (Dumnorix):
petit atque hortatur,il lui demande et l'exhorte
"ut, sine offensione","que, sans offense"
"animi ejus,","du cœur de lui (Divitiacus),"
vel ipse,ou lui-même (César)
"statuat de eo,","puisse statuer sur lui (Dumnorix),"
"causa cognita,","la cause étant instruite,"
vel jnbeat,ou puisse ordonner
civitatem statuere.,la cité statuer.
"XX. Divitiacus,","XX. Divitiacus,"
"complexus Cæsarem,","ayant embrassé César,"
cepit obsecrare,se mit à le supplier
cum lacrymis multis,avec des larmes abondantes
« Ne statueret quid gravius,« Qu'il ne décidât pas quelque chose
in fratrem; »,trop sévèrement
In fratrem,contre son frère;
se scire,lui-même (Divitiacus) savoir
"illa esse vera,","ces choses qu'on avait dites être vraies,"
nec quemquam capere ex eo,et qui-que-ce-soit ne pas concevoir de cela
"plus doloris quam se,","plus de douleur que lui-même,"
"propterea quod,","parce que,"
quam ipse posset plurimum,quum ipse possetplurimum
comme lui-même était-puissant,comme lui-même était-puissant
tres-,tres-
