Latin,Français
magnas copias hostium instructas esse,de grandes troupes d'ennemis avoir été rangées-en bataille
ad alteram ripam :,sur l'autre rive :
ripa antem munita erat,or la rive avait été garnie
sudibus acutis prefixis ;,de pieux aigu enfoncés-au-devant ;
audesque ejusdem generis,et des pieux de la même espèce
defixæ sub aqua,enfoncés sous l'eau
tegelvantur flumine.,étaient cachés par le fleuve.
His rebus cognitis,Ces choses ayant été apprises
"a captivis perfugisque,","des prisonniers et des transfuges,"
"Cæsar,","César,"
"equitatu præmisso,","la cavalerie ayant été envoyée-en-avant,"
jussit legiones subsequi,ordonna les légions suivre-de-près
confit lestim.,aussitôt.
Sed milites,Mais les soldats
ierunt ea celeritate,marchèrent avec cette (une telle) rapidité
"atque eo impetu,","et cet (un tel) élan,"
quum extarent ex aqua,tandis qu'ils étaient-au-dessus de l'eau
"capite solo,","de la tête seule,"
ut hostes,que les ennemis
non posent sustinere,ne purent pas soutenir
impetum legionum,le choc des légions
atque equitum,et des cavaliers
dimitterentque ripas,"et abandonnèrent les rives (dans) la fuite,"
ac se mandarent fuge.,et se conférèrent à (cherchèrent leur salut
"XIX. Cassivellaunus,","XIX. Cassivellaunus,"
omni spa contentionis,tout espoir de lutte
"deposita,","étant déposé (perdu),"
"ut demonstravimus supra,","comme nous l'avons indiqué ci-dessus,"
amplioribus copiis,le gros-de ses troupes
"dimissis,","étant congédié,"
circiter quatuor millibus,environ quatre milliers
essedariorum,de soldats-combattant-sur-des-chariots
"relicitis,","étant laissés (retenus près de lui),"
"servabat nostra itinera,","observait notre marche,"
excedebatque paululum,et s'écartait un peu
"ex via,","de la route,"
sesque occulabat,et se cachait
locis impeditis,dans des lieux embarrassés
"ac silvestribus,","et boisés,"
atque iis regionibus,"et dans ces contrées,"
quibus cognoverat,dans lesquelles il avait appris
"nos facturos iter,","nous devoir faire route,"
compellebat,il rassemblait
ex agris in silvas,des champs dans les forêts
pecora atque homines ;,"le bétail et les hommes (habitants),"
"er, quam noster equitatus","et, quand notre cavalerie"
