Latin,Français
"I. César, pendant l'hiver, fait préparer une flotte pour le printemps.","I. César, pendant l'hiver, fait préparer une flotte pour le printemps."
"II. Tandis que la flotte se rassemble au port Itius, il entreprend une exédition contre les Trévires.","II. Tandis que la flotte se rassemble au port Itius, il entreprend une exédition contre les Trévires."
III. Les Trévires se hâtent de faire leur soumission.,III. Les Trévires se hâtent de faire leur soumission.
"IV. César l'accepte, afin de réserver l'été tout entier pour l'ex-pédition de Bretagne.","IV. César l'accepte, afin de réserver l'été tout entier pour l'ex-pédition de Bretagne."
V. Il trouve l'armée et la flotte réunies au port Itius.,V. Il trouve l'armée et la flotte réunies au port Itius.
"VI. César s'apprête à emmener en Bretagne l'Éduen Dumnorix, dont il redoute les intrigues.","VI. César s'apprête à emmener en Bretagne l'Éduen Dumnorix, dont il redoute les intrigues."
"VII. Dumnorix s'esquive au moment de l'embarquement; César le fait poursuivre; Dumnorix résiste, il est tué.","VII. Dumnorix s'esquive au moment de l'embarquement; César le fait poursuivre; Dumnorix résiste, il est tué."
"VIII. La flotte aborde en Bretagne; on n'aperçoit pas d'abord l'ennemi, qui s'est caché dans les montagnes.","VIII. La flotte aborde en Bretagne; on n'aperçoit pas d'abord l'ennemi, qui s'est caché dans les montagnes."
"IX. Première rencontre entre les Romains et les Bretons, qui sont audlogeés d'un bois.","IX. Première rencontre entre les Romains et les Bretons, qui sont audlogeés d'un bois."
"X. Au moment où César envoie à leur poursuite, il apprend qu'une tempête vient de maltraiter sa flotte.","X. Au moment où César envoie à leur poursuite, il apprend qu'une tempête vient de maltraiter sa flotte."
XI. César vient prendre les mesures nécessaires et marche ensuite de nouveau contre les Bretons.,XI. César vient prendre les mesures nécessaires et marche ensuite de nouveau contre les Bretons.
XII et XIII. Description de la Bretagne.,XII et XIII. Description de la Bretagne.
XIV. Mœurs des habitants.,XIV. Mœurs des habitants.
XV. Nouvelles escarmouches.,XV. Nouvelles escarmouches.
XVI. Désavantages des Romains dans leurs luttes contre les Bretons.,XVI. Désavantages des Romains dans leurs luttes contre les Bretons.
XVII. Les Bretons attaquent les Romains occupés à faire du fourrage; ils sont complètement défaits.,XVII. Les Bretons attaquent les Romains occupés à faire du fourrage; ils sont complètement défaits.
