Latin,Français
tantum dignitatis,tant de considération
"civitati Æduæ,","à la cité éluenne,"
statuebat,résolvait
Dumnorigem coercendum,Dumnorix devoir être contenu
atque deterrendum,et devoir être détourné de son dessein
quibuscumque rebus,par toutes les choses (tous les moyens)
posset;,qu'il pourrait;
quod videbat,et parce qu'il voyait
amentiam ejus,la démence de lui
amentiam ejus,"s'avancer chaque jour plus loin, [pourvoir]"
"progredi longius,",il résolvait devoir être pourvu (qu'il fallait
prosiciendum,à ce qu'il ne put pas
ne posset,nuire en quelque chose
nocere quid,à lui-même et à la république.
sibi ac reipublicæ.,En conséquence
Itaque,ayant séjourné en cet endroit
commoratus in eo loco,vingt-cinq jours
viginti quinque dies,"environ,"
"circiter,","parce que le vent Corus,"
"quod ventus Corus,",qui soufflait
qui consuevit,de souffler dans ces lieux
flare in his locis,une grande partie
magna partem,"de tout temps (de toute l'année),"
"omnis temporis,","empêchait la navigation,"
"impediebat navigationem,",il donnait son nom
dabit operam,à ce qu'il contenait Dumnorix
ut contineret Dumnorigem,"dans le devoir,"
"in officio,",et en rien moins (néanmoins) cependant
nihilo secus tamen,cognosceret
cognosceret,tous les desseins de lui :
omnía consilia ejus,"enfin, ayant trouvé"
"tanndem, nactus","un temps convenable,"
"tempestatem idoneam,",il ordonna les soldats et les cavaliers
jubeat milites equitesque,monter sur les vaisseaux.
conscendere in naves.,Mais les esprits de tous
"At, animis omnium",étaient occupés
"impeditis,",Dumnorix commença
Dumnorix ocepit,à s'en aller du camp
discedere a castris,vers sa demeure
domum,"avec les cavaliers des Éduens,"
"cum equitibus Æduorum,",César ne-le-sachant-pas.
Cæsare insciente.,"Ce fait ayant été annoncé,"
"Qua re nuntiata,","César,"
"Cæsar,",le départ ayant été suspendu
profectione intermissa,et toutes les affaires
atque omnibus rebus,"mises-après celle-là,"
"postpositis,",envoie
