Latin,Français
nobilissimus et ditissimus.,le plus noble et le plus riche.
"Is, M. Messala","Celnï-ci, M. Messala"
"et M. Pison consulibus,","et M. Pison étant consuls,"
"inductus cupiditate regni,","amené (entrainé) par le désir de la royauté,"
fecit conjurationem,fit une conspiration
"nobilitatis,","de la noblesse,"
et persuasit civitati,et persuada à la cité
ut exirent de suis finibus,qu'ils sortissent de leurs frontières
cum omnibus copiis :,"avec toutes leurs troupes,"
"Esse perfacile,","« Être très-facile,"
"quum preestarent omnibus virtute,",puisqu'ils l'emportaient sur tous par la valeur
potiri imperio,de s'emparer de l'empire
totius Galliæ. »,de toute la Gaule. »
Persuasit id eis facilus,Il persuada cela à eux plus facilement
"hoc, quod Helvetii","par ceci, que les Helvètiens"
continentur undique,sont resserdés de-toutes-parts
natura loci :,par la nature du pays :
"ex una parte,","d'un côté,"
"flumine Rheno,","par le fleuve du Rhin,"
"latissimo atque altissimo,","très-large et très-profond,"
qui dividit a Germanis,qui sépare des Germains
agrum Helvétium ;,le territoire helvétien ;
"ex altera parte,","du second côté,"
"monte Jura altissimo,","par la montagne du Jura, très-haute,"
qui est inter Sequanos,qui est entre les Séquaniens
et Helvetios ;,et les Helvètiens ;
"tertia, lacu Lemanno","du troisième, par le lac Léman"
"et flumine Rhodano,","et le fleuve du Rhône,"
qui dividit nostram provinciam,qui séparent notre province
ab Helvetiis.,des Helvètiens.
Fiebat his rebus,Il se faisait par ces choses (il en résultait)
"ut et vagarentur minus late,","que et ils se répandaient moins au large,"
et possent minus facile,et ils pouvaient moins facilement
inferre bellum finitimis :,porter la guerre chez leurs voisins :
de qua causa,pour lequel motif
homines cupidi bellandi,ces hommes avides de guerroyer
afficiebantur,étaient affectés
magno dolore.,d'une grande douleur.
Arbitrabantur autem,Or ils pensaient
pro multitudine hominum,par-rapport-au grand-nombre des hom-
et pro gloria,et par-rapport-à leur gloire
belli atque fortitudinis,de guerre et de valeur
"se habere fines angustos,","eux-mêmes avoir des frontières resservées,"
qui patebant,aux qui s'étendaient
in longitudinem,en longueur
