Latin,Français
"quare non posset desistere negotio, et","pourquoi il ne pouvait pas se désister de l'affaire, et"
Nec suam consuetudinem neque populi Romani,« Ni son habitude ni celle du peuple romain
pati uti desereret socios meritos optime;,ne souffrir qu'il abandonnât des alliés ayant mérité très-bien d'eux;
neque se judicare Galliam esse Ariovisti potius,et lui-même ne pas juger la Gaule être de (à) Arioviste plutôt
quam populi Romani.,que du (an) peuple romain.
Arvernos et Ruthenos superatos esse bello,Les Arvernes et les Rhènes avoir été vaincus à la guerre
"ab Q. Fabio Maximo,","par Q. Fabius Maximus,"
"quibus populus Romanus ignovisset,","peuples auxquels le peuple romain avait pardonné,"
"neque redegisset in provinciam,","et qu'il n'avait pas réduits en province,"
neque imposuisset stipendium.,et auxquels il n'avait pas imposé de tribut.
Quod si oporteret quodque tempus antiquissimum,Que s'il fallait chaque époque
"antiquissimum spectari,","la plus ancienne être considérée,"
"spectari,","être considérée,"
imperium populi Romani in Gallia,l'empire du peuple romain dans la Gaule
esse justissimum :,être le plus juste :
si oporteret,s'il fallait
"judicium senatus observari,","le jugement du sénat être observé,"
Galliam,la Gaule
"debere esse liberam,","devoir être libre,"
quam victam bello,laquelle vaincue à la guerre
voluisset uti suis legibus.,il avait voulu faire user de ses propres
"XLVI. Dum haec geruntur in colloquio,",(lois. »
nuntiatum est Cæsari equites Ariovisti,"se passent dans l'entretien, il fut annoncé à César"
"accedere propius tumulum et adequitare ad nostros,","les cavaliers d'Arioviste s'avancer plus près du tertre et chevaucher vers les nôtres,"
conjicere in nostros lapides telaque.,et jeter sur les nôtres des pierres et des traits.
"Cæsar fecit timem loquendi,","César fit la fin (cessa) de parler,"
"seque recept ad suos,","et se retira vers les siens,"
imperavitque suis,et commanda aux siens
ne rejicereut,qu'ils ne lancassent-de-leur-côté
omnino quod telum,pas du tout quelque trait
in hostes.,contre les ennemis.
Nam etsi videbat,Car bien qu'il vit
