Latin,Français
"a suis majoribus, ucti consuerint accipere obsides, non dare;","par leurs ancêtres, qu'ils eussent-contume de recevoir des otages, et non d'en donner;"
populum Romanum esse testem ejus rei.,le peuple romain être témoin de ce fait.
"XV. Hoc responsio dato, discessit.","XV. Cette réponse ayant été donnée, il se retira."
Die postera movent castra ex eo loco :,Le jour suivant ils mettent-en-mouvement leur camp hors de ce lieu :
"Cæsar facit idem, premititque omnem equitatum quem habebat coactum ex omni provincia, et Æduis","César fait la même chose, et il envoie-en-avant toute la cavalerie qu'il avait rassemblée de toute la province et de chez les Éduens et les alliés d'eux,"
"atque sociis eorum, ad numerum quattor millium, qui videant in quas partes hostes faciant iter.","et les alliés d'eux, au nombre de quatre milliers d'hommes, qui verraient (pour voir) de quels côtés les ennemis faisaient route."
"Qui, insecuti cupidius novissimum agmen, novissimum agmen, committunt proelium cum equitatu Helvetiorum loco alieno :","Qui, insecuti cupidius novissimum agmen, novissimum agmen, committunt proelium cum equitatu Helvetiorum loco alieno :"
cum equitatu Helvetiorum loco alieno : et panci de nostris cadunt.,et panci de nostris cadunt.
"Quo prœlio sublati, quod quingentis equitibus propulerant tantam multitudinem equitum, Helvetii coeperunt subsistere audacius, nonnunquam laessere nostros prœlio ex novissimo agmine.","Par lequel combat enflés, parce que avec cinq-cents cavaliers ils avaient repoussé une si-grande multitude de cavaliers, les Helvètiens commencèrent à s'arrêter plus audacieusement, que l'on ne pouvait"
"Cæsar continbat suos a prœlio, ac habebat satis in præsentia prohibere hostem rapinis, pabulationibus populationibusque.","à harceler les nôtres par un combat en détachant des soldats du dernier corps. César retenait les siens loin du combat, et avait assez (so contentait) dans le présent d'écarter l'ennemi des rapines, des pâturages et des ravages."
Fecerunt iter circiter quindecim dies,Ils firent route environ quinze jours
