Latin,Français
pollicitusque est eam rem,et promit cette affaire
futurum curæ sibi:,devoir être à souci à lui-même :
Se habere magnam spem,il dit * Lui-même avoir grand espoir
"Ariovistum, adductum","qu'Ariovisté, amène (déterminé)"
et beneficio suo,et par le bienfait de-lui-même (César)
"et auctoritate,","et par son autorité,"
facturum finem injuriis.,devoir faire (mettrait) fin à ses injurie-
"Hac oratione habita,","Ce discours ayant été tenu,"
dimisit concilium;,il congédia l'assemblée ;
et secundum ea,et conformément-à ces choses
multæ res hortabantur eum,beaucoup-de circonstances exhortaient
quare putaret eam rem,pour qu'il pensât cette affaire
cogitandam,devoir être réfléchie
"et suspiciendam sibi,","et devoir être entreprise à (par) lui,"
imprimis quod videbat,principalement parce qu'il voyait
"Eduos,","les Eduens,"
appellatos sæpenumero,appelés fréquemment
ab senatu,par le sénat
"fratres consanguineosque,","frères et parents,"
teneri in servitute,être tenus dans la servitude
atque in ditione,et dans la domination
"Germanorum,","des Germains,"
intelligebatque,et comprenait
obsides eorum,des otages d'eux
esse apud Ariovistum,être auprès d'Ariovisté
ac Sequanos :,et des Sequaniens :
quod arbitrabatur,chose qu'il estimait
esse turpissimum sibi,être très-honteuse pour lui-même
et reipublicæ,et pour la république
in imperio tanto,dans (sous) l'empire si-grand
populi Romani.,du peuple romain.
Videbat autem,Or il voyait
periculorum,qu'il était dangereux
populo Romano,pour le peuple romain
Germanos,les Germains
consuescere paulatim,s'habituer peu-à-peu
transire Rhenum,à passer le Rhin
et magnam multitudinem,et une grande multitude
eorum,d'eux
venire in Galliam ;,venir dans la Gaule ;
neque existimabat,et il ne pensait pas
homines feros ac barbares,des hommes féroces et barbares
"temperaturos sibi quin,",devoir moderer en-x-mêmes de façon qu'il
quum occupassent,quand ils se seraient emparrés
"omnem Galliam,","de toute la Gaule,"
"exirent,","ils ne sortissent pas,"
ut Cimbri Teutonique,comme les Cimbres et les Teutons
