Latin,Français
"ab injuria Cassivellauni, atque mittat in civitatem, qui prasit","contre l'injustice de Cassivellauns, et l'envoie dans leur cité, lequel serait (pour état) à-leur-tête"
obtinereutque imperium,et possédorait (possédère) l'autorité.
"Caesar imperat his quadranta obsides frumentumque exercitni, mittitque Mandubratium ad eos.",César commande à eux l'autorité.
"Illi fecerunt imperata celeriter, miserunt obsides ad numerum frumentaque.","Ceux-ci exécutèrent ses ordres promptement, envoyèrent des otages jusqu'au nombre fixé et blé."
"XXI. Trinobantibus defensis atque prohibitis ab omni injuria militum,","XXI. Les Trinobantes étant protégés et ecartés (mis à l'abri) de toute insulte des soldats,"
"Cenimagni, Segontiaci, Ancalites, Bibroci, Cassi, legationibus missis,","les Cenimagnes, les Ségontiacs, les Ancalites, les Bibroces, les Cassiens, des députations envoyées,"
"sese dedunt Cesari. Cognoscit ex his oppidum Cassivellauni abesse non longe ab eo loco,","se donnent à César. Il apprend de ceux-ci la ville de Cassivellauns à tre-distante non loin de cet endroit,"
"munitum silvis paludibusque,","fortifiée par des forêts et des marais,"
quo numerus satis magnus hominum pecorisque convenerit.,et où un nombre assez grand d'hommes et de bétail s'était rassemblé.
"Britanni autem vocant oppidum, quum munierunt vallo atque fossa silvas impeditas,","Or les Bretons appellent (disent que c'est) une ville, lorsqu'ils ont fortifiée d'une palissade et d'un fossé des forêts embarrassées (épaisses),"
quo consuerunt convenire enusa vitande incursionis Prostium.,où ils ont-coutume de se rassembler en vue d'éviter une incursion des ennemis.
Proficiscitur ibo cum legionibus : reperit locum egregie munitum natura atque opere ; tamen contendent oppugnare hunc ex dubus partibus.,Il part pour aller là avec les légions : il trouve un endroit.
Il part pour aller là avec les légions : il trouve un endroit.,Il part pour aller là avec les légions : il trouve un endroit.
excellement fortifié par la nature et le travail des hommes.,excellement fortifié par la nature et le travail des hommes.
cependant il s'efforce d'assailir cet endroit de deux côtés.,cependant il s'efforce d'assailir cet endroit de deux côtés.
