Latin,Français
in longitadinem,en longueur
esse huic.,être à ce côté.
Ita omnis insula est in circuitu,Ainsi toute l'île est en circuit (à un circuit)
[suum. est in circuitu],de vingt-fois cent mille pas.
vices centum millium pas-,de vingt-fois cent mille pas.
"XIV. Ex omnibus his humanissimi longe sunt qui incolant Cantium,",XIV. Douces peuples
"que regio est maritima omnis,","sont ceux qui habitent le Cantium,"
neque different multum a consuetudine Gallica.,"laquelle contrée est maritime tout-entière,"
"Plerique interiores non serunt frumenta,",et ils ne différent pas beaucoup
sed vivant lacte et carne suntque vestiti pellibus.,des racurs gauloises.
Omnes vero Britanni,La plupart de ceux de-l'intérieur
"se inficiunt vitro,","ne sèment pas de blé,"
quod efficit,mais vivent de lait et de viande
colorem cæruleum;,et sont vêts de peaux.
arque hoc,Mais tous les Bretons
sunt aspectu horridiore,"se teignent de pastel,"
in pugna:,ce qui leur fait
suntque capillo promisso,une couleur bleue;
atque omni parte corporis,et par cela
præter caput,ils sont d'un aspect plus horrible
et labrum superius.,dans le combat:
Deni duodenique,et ils sont de (ont) une chevelure longue
habent uxores,et toute partie du corps
"communes inter se,","rasée,"
et maxime,excepté la tête
fratres cum fratribus,et la lèvre supérieure.
parentesque cum liberis;,Dix-par-dix et douze-par-douze
sed si qui,ils ont des épouses
"nati sunt ex his,","communes entre eux,"
habentur liberi,et surtout
eorum quo,les frères avec les frères
primum,et les parents avec les enfants;
queque deducta est virgo.,mais si quelques enfants
queque deducta est virgo.,"sont nés de ces épouses,"
essedariique,ils sont tenus (passent) pour les enfants
confixerunt aeriter prcelio,de ceux ou (chez qui)
cum nostro equitatu,pour-la-première-fois
"in itinere,",chaque femme a été menée vierge.
tamen ut nostri fuerint superiores,XV. Les cavaliers des ennemis
fuerint superiores,et les combattants-montés-sur-des-chars
et sunt aspect plus horrible,luttèrent vivement par le combat
dans le combat:,avec notre cavalerie
et ils sont de (ont) une chevelure longue,"dans la marche,"
et toute partie du corps,cependant de telle sorte que les nôtres
"rasée,",furent superieurs
