Latin,Français
locis patentibus,dans des contrées ouvertes (de plaines)
"maximeque frumentariis,","et extrêmement fertiles-en-blé,"
"homines bellicosos,","des hommes belliqueux,"
inimicos populi Romani.,ennemis du peuple romain.
Ob eas causas,Pour ces motifs
prefectit T. Labienum,il prépose T. Labienum
legatum,son lieutenant
ei munitioni quam fecerat:,à ces retranchements qu'il avait faits :
ipse contendit in Italiam,lui-même se rend en Italie
"magnis itineribus,","à grandes marches,"
conscribitque ibi,et chrôle la
"duas legiones,","deux légions,"
et educit ex hibernis,et fait-sortir des quartiers-d'hiver
"tres, quæ hiemabant","trois légions, qui hivernaient"
"circum Aquileiam,","autour d'Aquilée,"
et contendit ire,et se hate d'aller
cum his quinque legionibus,avec ces cinq légions
qua iter,par ou la route
in Galliam ulteriorem,vers la Gaule ultérieure
erat proximum per Alpes.,était la plus proche (courte) à travers les
Tbi Centrones et Graiocali,Là les Centrons et les Graiocèles
"et Caturiges,","et les Caturiges,"
locis superioribus,des lieux plus élevés
"occupatis,","étant occupés,"
conantur,tentent
prohibere exercitum,de repousser l'armée
itinere.,de sa route.
His pulsis,Ceux-ci ayant été battus
"compluribus proeliis,","en plusieurs combats,"
pervenit septima die,il parvient le septième jour
"ab Ocelo,","d'Ocelo,"
quod est extremum,qui est le point extrême
"provinciæ citerioris,","de la province citerienne,"
in fines Vocontiorum,au territoire des Vocontiens
provinciæ ulterioris,de la province ulterienne ;
inde ducit exercitum,de la it conduit son armée
"in fines Allobrogum,","sur le territoire des Allobroges,"
ab Allobrogibus,et de chez les Allobroges
in Segusianos.,chez les Séguisiens.
Hi sunt primi,Ceux-ci sont les premiers
extra provinciam,en dehors de la province
trans Rhodanum.,au dela du Rhône.
XI. Jam Helvetii,XI. Déjà les Helvètiens
transdixerant suas copias,avaient fait passer leurs troupes
per angustias,à travers les défiles
"et fines Sequanorum,","et le territoire des Séquaniens,"
et pervenerant,et étaient arrivés
