Latin,Français
in nostros.,sur nos soldats.
Existimabat sese,Il estimait lui-même
missurum ad eum,devoir envoyer vers lui (Arioviste)
cum magno periculo,avec un grand danger
"legatum ex suis,","un lieutenant des siens,"
et objectorum,et devoir l'exposer
hominibus feris.,à des hommes féroces.
Commodissimum visum est,Le plus avantageux lui parut être
mittere ad eum,d'envoyer vers lui
"C. Valerium Procillum,","C. Valérius Procillus,"
"filium C. Valerii Caburi,","fils de C. Valérius Caburus,"
adolescentem,jeune-homme
summa virtute,d'une très-haute valeur
et humanitate,et d'une très-grande douceur
(enjus pater,(dont le père
donatus erat civitate,avait été gratifié du droit-de-cité
"a C. Valerio Flacco),","par C. Valérius Flaccus),"
"et propter fidem,","et à-cause-de sa fidélité,"
et propter scientiam,et à-cause-de sa connaissance
"linguæ Gallicæ,","de la langue gauloise,"
qua multa,de laquelle abondante (en grande partie)
Ariovistus jam utebatur,Arioviste déjà faisait usage
"longinqua consuetudine,","par une longue habitude,"
et quod causa peccandi in eo,et parce qu'un motif de mal-faire contre
"non esset Germanis,","n'était pas aux Germains,"
"et M. Mettium,","et M. Mettius,"
qui usus erat,qui avait usé
hospitio Ariovisti.,de l'hospitalité d'Arioviste.
Mandavit his,Il donna-commission à ceux-ci
ut cognoscerent,qu'ils entendissent
et referrent ad se,et rapportassent à lui-même
quæ Ariovistus diceret.,les choses qu'Arioviste dirait.
Quos quum Ariovistus,Lesquels lorsqu'Arioviste
conspexit,ent aperçus
"apud se in castris,","près de lui dans le camp,"
"suo exercitu presente,","son armée étant-présente,"
conclamavit:,il s'écria :
"""Quid venirent ad se ?","""Pourquoi venaient-ils vers lui-même ?"
"an causa speculandi?""",était-ce en vue d'espionner ? »
Prohibuit conantes dicere,Il empêcha ceux s'efforçant de parler
et conjecit in catenas.,et les jeta dans les chaînes.
XLVIII. Eodem die,XLVIII. Le même jour
promovit castra,il porta-en-avant son camp
et consedit sub monte,et s'établit au-pied-d'une montagne
sex millibus passuum,à six milliers de pas
a castris Cæsaris.,du camp de César.
Postridie ejus diei,Le lendemain de ce jour
