Latin,Français
civitas que est firma,cité qui est puissante
in primis,entre les premières
et magnae auctoritatis,et d'uni grande autorité
"inter Gallos,","parmi les Gaulois,"
conati interficere,ayant tenté de mettre-à-mort
consilio publico,d'après une résolution publique
"Cavarinum,","Cavarinus,"
quem Cesar,que César
constituerat regem,avait établi roi
apud eos,chez eux
"(cujus frater Moritasgus,",(dont le frère Moritasgus
adventu Cæsaris,à l'arrivée de César
"in Galliam,","en Gaule,"
cujusque majores,et dont les ancêtres
"obtinuerant regnum),","avaient possédé la royauté),"
quum ille presensisset,comme celui-là s'en était aperçu-d'avance
"ac profugisset,","et s'était enfui,"
"insecuti usque ad fines,","l'ayant poursuivi jusqu'à la frontière,"
expulerunt regno,ils le chassèrent de son royaume
domoque:,et de sa maison :
"et, legatis","et, des députés"
missis ad Cæsarem,ayant été envoyés à César
"causa satisfactendi,","en vue de donner-satisfaction,"
quum is jussisset,comme celui-ci avait enjoint
omnem senatum,tout le sénat
"venire ad se,","venir vers lui,"
non fuerunt audientes,ils ne furent pas obéissants à l'ordre.
dicto.,Cécis eut-de-la-force tellement
Valuit tantum,"auprès de ces hommes barbares,"
"apud homines barbaros,",quelques promoteurs
aliquos principes,de la guerre à-porter contre nous
belli inferendi,"avoir été trouvés,"
"repertos esse,",et apporta à tous
atulitque omnibus,un si-grend changement
tantam commutationem,"de volontés,"
"voluntatum,","que, excepté les Eduens"
"ut, præter Eduos","et les Rémois,"
"et Remos,",que César traîta toujours
quos Cesar habuit semper,"avec un honneur particulier,"
"honore præcipuo,",les uns pour leur dévouement
alteros pro fide,ancien et continuel
vetere ac perpetua,"envers le peuple romain,"
erga populum Romanum.,les autres
alteros,pour leurs services récents
pro officiis recentibus,"de (pendant) la guerre des-Gaulés,"
"belli Gallici,",presque aucune cité
Latin,Français
civitas que est firma,cité qui est puissante
in primis,entre les premières
et magnae auctoritatis,et d'uni grande autorité
"inter Gallos,","parmi les Gaulois,"
conati interficere,ayant tenté de mettre-à-mort
consilio publico,d'après une résolution publique
"Cavarinum,","Cavarinus,"
quem Cesar,que César
constituerat regem,avait établi roi
apud eos,chez eux
"(cujus frater Moritasgus,",(dont le frère Moritasgus
adventu Cæsaris,à l'arrivée de César
"in Galliam,","en Gaule,"
cujusque majores,et dont les ancêtres
"obtinuerant regnum),","avaient possédé la royauté),"
quum ille presensisset,comme celui-là s'en était aperçu-d'avance
"ac profugisset,","et s'était enfui,"
"insecuti usque ad fines,","l'ayant poursuivi jusqu'à la frontière,"
expulerunt regno,ils le chassèrent de son royaume
domoque:,et de sa maison :
"et, legatis","et, des députés"
missis ad Cæsarem,ayant été envoyés à César
"causa satisfactendi,","en vue de donner-satisfaction,"
quum is jussisset,comme celui-ci avait enjoint
omnem senatum,tout le sénat
"venire ad se,","venir vers lui,"
non fuerunt audientes,ils ne furent pas obéissants à l'ordre.
dicto.,Cécis eut-de-la-force tellement
Valuit tantum,"auprès de ces hommes barbares,"
"apud homines barbaros,",quelques promoteurs
aliquos principes,de la guerre à-porter contre nous
belli inferendi,"avoir été trouvés,"
"repertos esse,",et apporta à tous
atulitque omnibus,un si-grend changement
tantam commutationem,"de volontés,"
"voluntatum,","que, excepté les Eduens"
"ut, præter Eduos","et les Rémois,"
"et Remos,",que César traîta toujours
quos Cesar habuit semper,"avec un honneur particulier,"
"honore præcipuo,",les uns pour leur dévouement
alteros pro fide,ancien et continuel
vetere ac perpetua,"envers le peuple romain,"
erga populum Romanum.,les autres
alteros,pour leurs services récents
pro officiis recentibus,"de (pendant) la guerre des-Gaulés,"
"belli Gallici,",presque aucune cité
