Latin,Français
"Dans la crainte de soulèvements plus considérables, César renforce son armée.","Dans la crainte de soulèvements plus considérables, César renforce son armée."
Les Trévires gagnent à leur cause quelques peuplades germaniques et font alliance avec Ambiorix.,Les Trévires gagnent à leur cause quelques peuplades germaniques et font alliance avec Ambiorix.
César réduit les Nerviens à l'obéissance et marche contre les Senonais.,César réduit les Nerviens à l'obéissance et marche contre les Senonais.
Soumission des Sénonais et des Carnates.,Soumission des Sénonais et des Carnates.
"César se rend dans le pays des Ménapiens, alliés des Trévires.","César se rend dans le pays des Ménapiens, alliés des Trévires."
Il les force à se soumettre.,Il les force à se soumettre.
"Labiénus se porte au-devant des Trévires, qui venaient pour l'attaquer dans ses quartiers d'hiver, puis il feint de reculer devant eux.","Labiénus se porte au-devant des Trévires, qui venaient pour l'attaquer dans ses quartiers d'hiver, puis il feint de reculer devant eux."
Les Trévires le poursuivent et se font battre; la cité se soumet.,Les Trévires le poursuivent et se font battre; la cité se soumet.
César passe le Rhin ; députation des Ubiens.,César passe le Rhin ; députation des Ubiens.
"Les Suèves, à l'approche des Romains, se retirent dans les forêts.","Les Suèves, à l'approche des Romains, se retirent dans les forêts."
"Moeurs des Germains et des Gaulois. Factions nombreuses en Gaulc, dans les cités, dans les bourgs, dans les familles même.","Moeurs des Germains et des Gaulois. Factions nombreuses en Gaulc, dans les cités, dans les bourgs, dans les familles même."
Longue rivalité des Séquaniens et des Éduens. Prééminence des Éduens et des Rémois.,Longue rivalité des Séquaniens et des Éduens. Prééminence des Éduens et des Rémois.
"Il y a deux classes considérées dans la Gaule. Les druides, leur autorité, leurs attributions","Il y a deux classes considérées dans la Gaule. Les druides, leur autorité, leurs attributions"
"Leurs privilèges, leurs études, leurs aogmes.","Leurs privilèges, leurs études, leurs aogmes."
