Latin,Français
necabatur cum cruciatu,était mise-à-mort avec des tourments
in conspicu,à la vue
nostrorum militum,de nos soldats
Intus,Au-dedans (dans le camp)
"erat unus Nervius,","était un Nervien,"
"nomine Vertico,","de non Verticon,"
"natus loco honesto,","né d'une famille honorable,"
qui a prima obsidione,qui dès le commencement-du siège
perfugerat ad Ciceronem,avait fui vers Ciceron
preestiteratque ei,et avait donné à lui
suam fidem.,sa foi.
Hic persuadet servo,Celui-ci persuade à un esclave
spe libertatis,par l'espoir de la liberté
magnisque præmiis,et par de grandes récompenses
ut deferat litteras,qu'il porte une lettre
ad Cæsarem.,à César.
Ille effert has,Celui-là emporte cette lettre
"illigatas in jaculo,","attachée à son javelot,"
et Gallus,et Gaulois
versatus,ayant circulé
sine ulla suspicione,sans exciter aucun soupçon
"inter Gallos,","parmi les Gaulois,"
pervenit ad Cæsarem.,parvient auprès de César.
Cognoscitur ab eo,On reçoit-connaissance par lui
de periculis Ciceronis,des dangers de Ciceron
legionisque,et de la légion.
"XLVI. Cæsar,","XLVI. César,"
itteris acceptis,la lettre ayant été reçue
undecima hora diei,à la lonzième heure du jour
"circiter,","environ,"
mittit statim nuntium,envoie aussitôt un messager
in Bellovacos,chez les Bellovaques
"ad questorem M. Crassum,","au questeur M. Crassus,"
cujus hiberna,dont les quartiers-d'hiver
aberant ab eo,étaient-éloignés de lui
viginti quinque millia,de vingt-cinq milliers
passuum.,de pas.
Jubet legionem,Il ordonne la légion
proficisci media nocte,partir au milieu-de la nuit
venireque celeriter ad se.,et venir rapidement à lui.
Crassus exiit,Crassus sortit de ses quartiers
cum nuntio.,avec le messager.
Mittit alterum,Il (César) envoie un autre messager
ad C. Fabium legatum,"à C. Fabius son lieutenant,"
ut adducat legionem,pour qu'il amène sa légion
"in fines Atrebatum,","sur le territoire des Atrébates,"
qua sciebat,par où il savait
