Latin,Français
uti interesset,"de telle sorte, qu'il y-ent-de-l'intervalle"
non amplius quinis,pas plus que cinq
aut senis millibus passuum,ou six milliers de pas
inter novissimum agmen,entre le dernier corps
hostium,des ennemis
et nostrum primum.,et notre premier corps.
XVI. Interim Cæsar,XVI. Cependant César
flagitare quotidie Ednos,de demander chaque-jour aux Ednens
frumentum,le blé
quod polliciti erant,qu'ils avaient promis
publice :,publiquement (au nom de la cité entière) :
"nam propter frigora,","car à-casse-des froids,"
"quod Gallia,","parce que la Gaule,"
"ut dictum est ante,","comme il a été dit auparavant,"
est posita,est située
"sub septentrionibus,","sous le septentrion,"
non modo frumentain agris,non seulement les blés dans les champs
"non erant matura,","n'étaient pas mûrs,"
sed ne copia quidem pabuli,mais pas même une quantité de fourrage
satis magna,assez grande
suppetebat ;,ne s'offrait ;
poterat autem minus,or il pouvait moins (ne pouvait pas)
"uti eo frumento,",user de ce blé
quod subvexerat navibus,qu'il avait transporté sur des vaisseaux
"flumine Arari,","sur la rivière de la Saône,"
"propterea quod Helvetii,","parce que les Helvètiens,"
a quibus,desquels
"nolebat discedere,","il ne-voulait-pas s'éloigner,"
averterant iter ab Arari.,avait détourné leur route de la Saône.
Edni,Les Ednens
ducere diem ex die;,de trainer-en-longueur jour après jour ;
"dicere conferri,",de dire le blé être apporté par les particu-
"comportari, adesse.","être réuni, arriver."
Ubi intellexit,Dès que César ent compris
"se duci diutius,","lui-même être trainé trop longtemps,"
"et diem instare,","et le jour approcher,"
quo die oporteret,dans lequel jour il faudrait
metiri frumentum,mesurer le blé
"militibus,","aux soldats,"
principibus eorum,les principaux d'eux (des Édnens)
principibus eorum,"ayant été convoqués,"
"convocatis,",desquels il avait
quorum habebat,un grand nombre
magnam copiam,"dans le camp,"
"in castris,","et parmi ceux-ci Divitiacus et Liscus,"
"in his Divitico et Lisco,",qui présidait
qui praerat,à la magistrature suprême
