Latin,Français
perfertur ad Labienum,est porté jusqu'à Labiénus
per Remos,par les Rémois
"celeritate incredibili,","avec une rapidité incroyable,"
"ut, quum abesset","de sorte que, qu' il fut éloigné"
sexaginta millia passuum,de soixante milliers de pas environ
ciroiter,"des quartiers-d'hiver de Cioéron,"
"ab hibernis Ciceronis,",et que César fut arrivé la
Cæsarque pervenisset eo,"après la nouvelle heure du jour,"
"post nonam horam diei,",avant le milieu-de la nuit
ante mediam noctem,un cri s'éleva
clamor oriretur,"aux portes du camp,"
"ad portas castrorum,",par lequel cri
quo clamore,l'annonce de la victoire
significatione victoriae,et des félicitations
gratulatioque,étaient faites à Labiénus par les Rémois.
feret Labieno ab Remis.,Ce bruit
Hac fama,"ayant été porté chez les Trévires,"
"perlata ad Treviros,","Indutiomarus,"
"Indutiomarus,",qui avait résolu
qui decreverat,d'attaquer le camp de Labiénus
oppugnare castra Labieni,"le jour suivant,"
"die postero,",s'enfuit de nuit
prolugit noctu,et ramène toutes ses troupes
reducitque omnes copias,chez les Trévires.
in Treviros.,César remittit Fabium
Cæsar remittit Fabium,avec sa légion
cum legione,"dans ses quartiers-d'hiver,"
"in sua hiberna,",décide lui-même d'hiverner
constituit ipse hiemare,avec trois légions
constituit ipse hiemare,autour de Samarobrive
cum tribus legionibus,"dans trois quartiers-d'hiver,"
circum Samarobrivam,[la Gaule
"tribis hibernis,",et parce quo de si-grands mouvements de
"et, quod tanti motus Galliæ","s'étaient élevés,"
"exstiterant,",résolut de rester lui-même
decrevit manere ipse,auprès de l'armée
ad exercitum,pendant tout l'hiver.
totam hiemem.,Car ce désastre
Nam illo incommodo,touchant la mort de Sabinus
de morte Sabini,"ayant été porté (annoncé) de tous côtés,"
"perlato,",presque toutes les cités de la Gaule
fere omnes civitates Galliæ,"délibéraient au sujet-de la guerre,"
fere omnes civitates Galliæ,et envoyaient
consultabant de bello,de tous côtés
dimittebantque,"des messagers et des députations,"
in omnes partes,[tion pour l'avenir)
"nuntios legationesque,",et examinaient
et explorabant,quoi de résolution restant (quelle résolu-
