Latin,Français
hienare in Remis,hiverner chez les Remois
cum T. Labieno,avec T. Labiénus
in confinio Trevirorum,sur les confins des Trévires
collocavit tres in Belgio :,il en établit trois dans le Belgique
praefect his,il mit-à-la-tête-de celles-ci
"M. Crassum, quæstorem,","M. Crassus, questeur,"
"et L. Munatium Plancum,","et L. Munatius Plancus,"
"et C. Trebonium, legatos.","et C. Trébonius, lieutenants."
"Misit unam legionem,","Il envoya une légion,"
quam conscripserat,qu'il avait enrôlée
proxime,dernièrement
"trans Padum,","au dela du Pô,"
"et quinque cohortes,","et cinq cohortes,"
"in Eburones,","chez les Eburons,"
quorum maxima pars,dont la plus grande partie
est inter Mosam,est entre la Meuse
"ac Rhenum,","et le Rhin,"
qui erant sub imperio,qui étaient sous l'autorité
Ambiorigis et Cativolci.,d'Ambiorix et de Cativolcus.
Jussit,Il ordonna
Q. Titurium Sabinum,Q. Titurius Sabinus
et L. Aurunculeium Cot-,"et L. Aurunculeius Cotta,"
"legatos,","légatos,"
"[tam,","[tém,"
præesse his militibus.,commander à ces soldats.
Legionibus distributis,Les légions ayant été réparties
"ad hunc modum,","de cette manière,"
existimavit,il pensa
sese posse mederi facilime,lui-même pouvoir remédier très-facilement
inopine frumentariz :,à la disette de-blé :
atque tamen hiberna,et cependant les quartiers-d'hiver
omnium harum legionum,de toutes ces légions
(præter eam,(excepté celle
quam dederat L. Roscio,qu'il avait donnée à L. Roscius
ducendam,à-conduire
in partem pascatissimam,dans la partie la plus soumise
et quietissimam),et la plus tranquille)
continebantur,étaient renfermés
centum millibus passuum.,dans cent milliers de pas.
Ipse constituit,Lui-même résolut
"morari in Gallia interea,",de séjourner dans la Gaule pendant-à-c-
quoad collocasset legiones,jusqu'à ce qu'il eût établi les légions
cognovissetque,et eût appris
hiberna munita.,les quartiers-d'hiver élire fortifiés.
XXV. Erat,XXV. Il y avait
in Carnutibus,chez les Carnutes
Tasgetius,un certain Tasgétius
"natua loco summo,","né d'une famille très-élevée,"
