Latin,Français
"Labienus continebat suos intra munitiones,","Labienus contenait les siens en dedans des retranchements,"
augebatque,et augmentait
opinionem timoris,l'i augmentait
quibuscumque rebus,par toutes les circonstances
poterat.,qu'il pouvait.
LVIII. Quum Indutiomarus,LVIII. Comme Indutiomarus
contemptione,avec un mépris
majoréin dies,plus grand de jour en jour
"accederet ad castra,",s'avançait vers le camp;
equitibus,les cavaliers
omnium civitatum,de toutes les cités
"tinitirnarum,","voisines,"
"quoscuraveratarcessendos,",desquels il avait eu-soin devant-être mar-
intromissis,ayant été introduits
"una nocte,","en une-seule nuit,"
coutinuit suos custodiis,il contenait les siens par des postes
intra castra,en dedans du camp
"tanta diligentia,","avec une si-grande exactitude,"
ut nulla ratione,que par aucun moyen
ea res posset enuntiari,cette circonstance ne put être révélée
aut perferri ad Treviros.,ou être portée (parvenir) aux Trévires.
Interim,Cependant
ex consuetudine quotidiana,selon son habitude de-chaque-jour
Indutiomarus,Indutiomare
accedit ad castra,s'avance vers le camp
atque consumit ibi,et consume là
magnam partem diei;,une grande partie du jour;
equitam conjiciunt tela,ses cavaliers lançent des traits
et cum magna contumelia,et avec une grande insolence
verborum,de paroles
evocant nostros,appellent les nôtres
ad pugnam.,au combat.
Nullo responso,Aucune réponse
"dato ab nostri,",n'ayant été donnée par les nôtres.
sub vespereum,vers le soir
dispersi ad dissipati,s'étant dispersés et éparpillés
discedunt.,ils se retirèrent.
Subito Labienus,Aussitôt Labienus
emitit omnem equitatum,lance toute sa cavalerie
duabus portis ;,par deux portes;
"precipit atque interdicit,","il recommande et fait-défense,"
hostibus proterritis,les ennemis étant effrayés
atque conjecitis in fugam,et lancés (mis) en fuite
"(quod videbat fore,",(ce qu'il voyait devoir être.
"sicut accidit),","comme cela arriva),"
omnes petant,que tous s'attachent
