Latin,Français
quod visum est esse satis,qui parait être assez
huic rei:,pour cet opération :
ipse,lui-même
cum quatuor legionibus,avec quatre légions
expeditis,débarquées-de-barges (légeres)
et octingentis equitibus,et huit-cents cavaliers
proficiscitur,part
"in fines Troviroorum,",pour
quod hi neque veniebant,parce que ceux-ci
"ad concilia,",ne venaient pas
"neque parebant imperio,","aux assemblées,"
dicebanturque sollicitare,"et n'obéissaient pas à son ordre,"
Germanos Transrhenanos.,et étant dient te solliciter
III. Hec civitas,les Germains d'outre-Rhin.
valet longe plurimum,III. Cette cité
totius Galliae,est-forte beaucoup plus
totius Galliae,de toute la Gaule
"equitatu,","par le cavalier,"
habetque magnas copias,et a de grandes quantités
"peditum,","de fantassins,"
"tangitque Rhenum,","et touche le Rhin,"
ut demonstravimus supra.,comme nous l'avons déjà dit.
In ea civitate,Dans cette cité
duo contendent inter se,deux hommes luttalent entre eux
"de principatu,","pour le premier-rang,"
Indutiomarus,Indutiomare
et Cingetorix,et Cingitorix
"ex quibus alter,","desquels l'un,"
simul atque cognitum est,aussitôt qu'on est été informé
de adventu Cæsaris,de l'approche de César
"legionumque,","et des légions,"
venit ad eum ;,vint vers lui ;
confirmavit se,il affirma lui-même
omnesque suos,et tous les siens
futuros in officio,devoir être (restor) dans le devoir
neque defectoros,et ne pas devoir se détacher
"ab amicitia populi Romani,",de l'amitié du peuple romain ;
ostenditque,et il démontra
quæ gererentur in Treviris.,ce qui se faisait chez les Trévires.
At Indutiomarus,Mais Indutiomarus
instituit cogere,entreprit de rassembler
"equitatum peditatumque,","de la cavalerie et de l'infanterie,"
"iisque, qui per statem",et ceux qui A-cause-de leur âge
"non poterant esse in armis,","ne pouvaient pas être sous les armes,"
abditis,étant cachés
"in silvam Arduennam,","dans la forêt des-Ardennes,"
quæ ingenti magnitudine,qui d'une immense grandeur
qui d'une immense grandeur,qui d'une immense grandeur
