Latin,Français
"et la Wéteravie jusqu'àu Mein. Entre autres circonstances qui relèvent le mérite de cette nation, la science de la guerre distingue les Celtes ou Suèves, indépendamment de la bravoure qui leur était commune avec les nations germaniques.","et la Wéteravie jusqu'àu Mein. Entre autres circonstances qui relèvent le mérite de cette nation, la science de la guerre distingue les Celtes ou Suèves, indépendamment de la bravoure qui leur était commune avec les nations germaniques."
"Une de leurs places, dont il est fait mention sous le nom de Castellum, conserve son nom dans celui de Cassel : il est encore parlé de Mattium comme de la capitale des Cattes, et on croit que cette ville est Marpurg. L'intérieur de la Germanie peut être considéré sous le nom général de Suevia ; c'est de la que plusieurs nations germaniques empruntent le nom de Suevi","Une de leurs places, dont il est fait mention sous le nom de Castellum, conserve son nom dans celui de Cassel : il est encore parlé de Mattium comme de la capitale des Cattes, et on croit que cette ville est Marpurg. L'intérieur de la Germanie peut être considéré sous le nom général de Suevia ; c'est de la que plusieurs nations germaniques empruntent le nom de Suevi"
"La Suevie était partagée en différentes peuples distingués les uns des autres; les Semnones se disaient la plus ancienne et la plus noble des nations suéviques, et s'étendaient depuis l'Elbe jusqu'au delà de l'Oder.","La Suevie était partagée en différentes peuples distingués les uns des autres; les Semnones se disaient la plus ancienne et la plus noble des nations suéviques, et s'étendaient depuis l'Elbe jusqu'au delà de l'Oder."
"Page 100 : 1. Rem frumentariam .... timere. Cette construction est tout à fait grecque. On lit de même dans Tite Live, XXXI, xxvii : Hic metus Codrionem, satis validum et munitum oppidum, sine certamine ut dederetur Romanis, effect.","Page 100 : 1. Rem frumentariam .... timere. Cette construction est tout à fait grecque. On lit de même dans Tite Live, XXXI, xxvii : Hic metus Codrionem, satis validum et munitum oppidum, sine certamine ut dederetur Romanis, effect."
"Omnium ordinum centurionibus. « Il n'y avait, dit Le Déist de Botidoux, que trois centurions par légion, le premier des triaires, le premier des princes et le premier des hastaires, qui eussent le droit d'assister régulièrement au conseil. »","Omnium ordinum centurionibus. « Il n'y avait, dit Le Déist de Botidoux, que trois centurions par légion, le premier des triaires, le premier des princes et le premier des hastaires, qui eussent le droit d'assister régulièrement au conseil. »"
Suis postulatis. Voy. chap. xxxv.,Suis postulatis. Voy. chap. xxxv.
Lucis. Les Leuces occupaient le territoire qui forme aujourd'hui les départements de la Meuse et de la Meurthe.,Lucis. Les Leuces occupaient le territoire qui forme aujourd'hui les départements de la Meuse et de la Meurthe.
Heltceliorum bello. Voy. le chap. xxvii.,Heltceliorum bello. Voy. le chap. xxvii.
Millium quinquaginta. Environ soixante-treize kilomètres et demi.,Millium quinquaginta. Environ soixante-treize kilomètres et demi.
Millibus passuum quatuor et viginti. Un peu plus de trente-cinq kilomètres.,Millibus passuum quatuor et viginti. Un peu plus de trente-cinq kilomètres.
Quod de colloquio postulasset. Voy. le chap. xxxiv.,Quod de colloquio postulasset. Voy. le chap. xxxiv.
"Ad equum rescribere. Le Déist de Botidoux : « La latin forme ici un jeu de mots qui ne peut se rendre en français; il roule sur le mot scribe. Scribere ad pedites, c'était enroller pour l'infanterie, qui ne se composait que de plébéiens; scribere ad equum, comme dit ici le légionnaire, c'était créer chevalier un simple citoyen, en le portant sur le contrôle de la cavalerie. »","Ad equum rescribere. Le Déist de Botidoux : « La latin forme ici un jeu de mots qui ne peut se rendre en français; il roule sur le mot scribe. Scribere ad pedites, c'était enroller pour l'infanterie, qui ne se composait que de plébéiens; scribere ad equum, comme dit ici le légionnaire, c'était créer chevalier un simple citoyen, en le portant sur le contrôle de la cavalerie. »"
Gallis. Il est question ici des Arvernes et des Séquaniens. Voy. le chap. xxxi.,Gallis. Il est question ici des Arvernes et des Séquaniens. Voy. le chap. xxxi.
Bello Allobrogum. Voy. le chap. vi.,Bello Allobrogum. Voy. le chap. vi.
