Latin,Français
mons magna altitudine,une montagne d'une grande hauteur
quod est,qui est
sexcentorum pedum,de six-cents pieds
"non amplius,","et non davantage,"
"qua flumen intermittit,","par ou le fleuve laisse-un-intervalle,"
ita ut ex utraque parte,de-telle-sorte que de l'un-et-l'autre côté
ripae fluminis,les rives du fleuve
contingant radices montis.,[gne.
Murus circumdatus,touchent les racines(le pied) de la monta-
efficit hunc arcem,Un mur mené-tout-autour
et conjungit cum oppido.,fait de cette montagne une citadelle
Caesar contendit huc,"et la réunit avec la ville,"
magnis itineribus,César se dirige la
"nocturnis diurnisque,",à grandes marches
"oppidoque occupato,","de-nuit et de-jour,"
collocat ibi præsidium.,"et la ville ayant été occupée,"
XXXIX.,il place la une garnison.
Dum moratur,XXXIX. Tandis qu'il s'arrête
paucos dies,peu-de jours
ad Vesontionem,auprès de Besançon
causa rei frumentariae,en vue d'une provision de-blé
"commeatuisque,","et de vivres,"
ex percontatione nostrorum,à-la-suite-des questions de nos soldats
vocibusque Gallorum,et des paroles des Gaulois
"ad mercatorum,","et des marchands,"
qui prædicabant Germanos,qui racontaient les Germains
esse ingenti magnitudine,être d'une énorme grandeur
"corporum,","de corps,"
incredibili virtute,d'une incroyable valeur
atque exercitatione,et exercice (habileté)
"in armis,","dans les armes,"
sepenumero sese,souvent eux-mêmes
congressos cum eis,étant venus-aux-prises avec eux
ne potuisse quidem ferre,n'avoir pas même pu supporter
vultum,leur visage
"atque aciem oculorum,","et la vivacité de leurs yeux,"
subito tantus timor,soudain une si-grande crainte
occupavit,s'empara
"ommem exercitum,","de toute armée,"
ut perturbaret,qu'elle troublait
non mediocriter,non faiblement
mentes,les esprits
animosque omnium.,et les coeurs de tous.
Hic ortus est primum,Cette crunte commença d'abord
"a tribunis militum,","par les tribuns des soldats,"
præfectis,les préfets de la cavalerie
"reliquisque qui,","et le reste-de ceux qui,"
