Latin,Français
persecturum civitatem,devoir poursuivre la cité
bello.,par la guerre.
"His adductis ad diem, ut imperaverat,","Ceux-ci (les otages) ayant été amenés pour le jour fixé, comme il avait commandé,"
"ut imperaverat,","comme il avait commandé,"
"dat arbitros inter civitates,",il donne (nomme) des arbitres
"inter civitates,","entre les cités,"
qui a-stiment litem constituantque poenam.,qui fassent (pour faire )-estimation du constituantque poenam.
"II. His rebus confectis conventibusque peractis,",les dommages-intérêts
revertitur,"et les assemblées menées-à-terme,"
"in Galliam citeriorem,",il revient
atque inde,"dans la Gaule citerieure,"
proficiscitur ad exercitum.,et de la
part pour l'armée.
"Quum venisset eo,","Quand il fut arrivé là,"
"omnibus hibernis circuitis,",tous les quartiers-d'hiver ayant été par
studio militum,l'ardour des soldats
"singulari,","étant extraordinaire,"
in summa inopia,dans (maigre) une extrême disette
"omnium rerum,","de toutes choses,"
invenit instructas,il trouve fouf équipés
circiter sexcentas naves,environ six-cents vaisseaux
"ejus generis,","de cette sorte,"
cujus demonstravimus,dont nous avons parlé
"supra,","ci-dessus,"
"et viginti octo longas,","et vingt-huit vaisseaux longs,"
neque abesso multum,[conp et il trouve ne pas s'en manquer beau-
"ab eo,","de ceçi,"
quin possent deduci,qu'ils ne pussent être tirés à la mer
paneis diebus.,sous peu-de jours.
Militibus,Les soldats
atque iis qui prefuerant,et ceux qui avaient été-à-la-tête
negotio,de l'entreprise
"collaudatis,","ayant été tous-ensemble,"
"ostendit quid velit fieri,",il indique ce qu'il veut être fait (qu'on
atque jubeat omnes,et ordonne tous
conveniread portum Itium.,"se réunir au port Itius,"
ex quo portu,d'ougnel port
cognoverat,il avait reconnu
transmissum in Britanniam,le trajet vers la Bretagne
"esse commodissimum,","être le plus aisée,"
triginta millia passuum,à trente milliers de pas
circiter,environ
a continenti.,du continent.
Reliquit militum,Il laissa la quantité de soldats
