Latin,Français
XLIV. Ariovistus respondit pauca,XLIV. Ariovistus répondit peu-de mots
ad postulata Cæsaris;,aux demandes de César;
predicavit multa,il dit-avec-jactance beaucoup-de paroles
de suis virtutibus :,touchant ses propres traits-de-bravoure :
Sese transisse Rhennm,« Lui-même avoir passé le Rhin
"non sua sponte,","non de son propre mouvement,"
sed rogatum et arcessitum,mais prié et appelé
a Gallis;,par les Gaulois;
non reliquisse domum,ne pas avoir abandonné sa demeure
propinquosque,et ses proches
sine magna spe,sans un grand espoir
magnisque praemiis;,et de grands prix;
habere in Gallia sedes,avoir en Gaule un établissement
"concessas ab ipsis,","concédé par les Gaulois eux-mêmes,"
obsides datos,des otages donnés
voluntate ipsorum;,de la volonté d'eux-mêmes;
capere jure belli,percevoir par le droit de la guerre
stipendium,le tribut
quod victores consuerint,que les vainqueurs avaient-coutume
imponere victis;,d'imposer aux vaincus;
non sese intulisse bellum,non lui-même avoir apporté la guerre
"Gallis,","aux Gaulois,"
sed Gallos sibi;,mais les Gaulois à lui-même;
omnes civitates Galliae,toutes les cités de la Gaule
venisse,être venues
"ad se oppugnandum,","pour l'assiéger,"
ac habuisse castra,et avoir en des camps
contra se;,contre lui;
omnes eas copias,toutes ces troupes
fusas esse ac superatas,avoir été mises-en-déroute et vaincues par
uno proelio;,en un-seul combat;
"si velint experiri iterum,","s'ils voulaient essayer de nouveau,"
sese paratum,lui-même être préparé
decertare iterum;,à combattre de nouveau;
"si velint uti pace,","s'ils voulaient user de la paix,"
esse iniquum,être (il était) injuste
"recusare de stipendio,","[le] tribut,"
quod dependerint,de refuser au-sujet-du (qu'ils refusassent
ad id tempus,qu'ils avaient payé
sua voluntate.,jusqu'à ce temps
Oportere,Falloir (il fallait)
amicitiam populi Romani,l'amitié du peuple romain
esse sibi ornamento,être pour lui à ornement (un honneur)
"et presidio,","et à (un) appui,"
non detrimento;,non à (un) détriment;
seque petitse id,et lui-même avoir demandé cela (cette
