Latin,Français
magna multitudine,par une grande multitude
"hostium,","d'ennemis,"
projectit aquilam,jeta l'aigle
"intra vallum,","en dedans du retranchement,"
ipse pognans fortissime,et lui-même combattant très-bravement
pro castris.,devant le camp
occiditur.,est tué.
Illi sustinent segre,Ceux-ci soutiennent avec-peine
oppugnationem,le siège
ad noctem :,jusqu'à la nuit :
"noctu omnes,","la nuit tous,"
"salute desperata,","le salut étant jugé-sans-espoir,"
se interficiunt ipsi,se tuent eux-mêmes
ad unum.,jusqu'à un-seul (jusqu'au dernier).
Pauci,De peu nombreux
elapsi ex prelio,ayant échappé de la bataille
perveniunt,arrivent
itineribus incertis,par des routes incertaines (prises au has-
per silvas,à travers les forêts
ad legatum T. Labienum,auprès du lieutenant T. Labiénu
"in hiberna,","dans ses quartiers-d'hiver,"
[rem,et font lui mieux-informé (l'instruisent)
atque faciunt eum certio-,des choses faites.
de rebus gestis.,
XXXVIII. Sublatus,XXXVIII. Elevé (enflé)
"hac victoria,","par cette victoire,"
Ambiorix,Ambiorix
proficiscitur staim,part aussitôt
cum equitatu,avec sa cavalerie
"in Aduatucoes,","chez les Aduatuques,"
qui erant finitimi,qui étaient voisins
regno ejus;,du royaume de lui ;
intermittit,il ne laisse-en-intervalle
"neque noctem neque diem,","ni nuit ni jour,"
jabetque peditatum,et ordonne l'infanterie
subsequi se.,suivre-de-près lui-même.
"Re demonstrata,","L'affaire ayant été exposée,"
"Aduatucesque concitatis,","et les Aduatuques ayant été soulevés,"
pervenit in Nervios,il arrive chez les Nerviens
"die postero,","le jour suivant,"
hortaturque,et les exhorte
« Ne dimittant occasionem,[casion
sui liberandi in perpetuum,Qu'ils ne laissent-pas-échapper l'oc-
atque ulciscendi Romanos,de s'affranchir à jamais
pro iis injuriis,et de punir les Romains
quas acciperint:,pour ces (les) injures
demonstrat,qu'ils en ont recues :
il fait-voir,
duo legatos interfectos esse,deux lieutenants avoir été tués
