Latin,Français
magnam partem equitatus,une grande partie de la cavalerie
ad eum insequendum,pour le poursuivre
imperatque retrahi,et commander de Dumnorix être ramené
si faciat vim,s'il fait violence (résistance)
"neque parent,","et n'obéissait pas,"
jubet interfici :,il ordonne lui être tué :
"arbitratus, sese absente,","estimant, lui-même étant absent,"
"hunc, qui neglexisset","cet homme, qui avait méprisé"
"imperium presentis,","l'autorité du présent,"
facturum nihil,ne devoir faire rien
pro sano.,à-la-lagon-d'un homme sain (sensé).
Ille enim revocatus,"En effet, celui-la rappelé"
cepit resistere,commença à résister
ac se defendere manu,et à se défendre avec son bras
imploraveque,et à implorer
"fidem suorum,","la fidele des siens,"
clamitans sepe,criant souvent
* Se esse liberum,* Lui-même être libre
civitatisque liberæ,et d'une cité libre.
"Ilii,","Ceux-là les cavaliers),"
"ut imperatrum erat,","comme il leur avait été commandé,"
circumsitum hominem,entourent l'homme (Dumnorix)
atque interficunt;,et le tuent
at equites Ædui,muis les cavaliers éduens
revertuntur omnes,reviennent tous
ad Casarem.,vers César.
"VIII. His rebus gestis,","VIII. Ces choses ayant été faites,"
Labieno,Labiéno
relieto in continenti,ayant été laissé sur le continent
cum tribus legionibus,avec trois légions
et duobus millibus,et deux milliers
"equitum,","de cavaliers,"
ut tueretur portus,pour qu'il protégeât les ports
et provideret,et pourvût
"rei frumentariam,","à l'approvisionnement de-blé,"
aognosceretque,et prit connaissance
"qui gereretur in Gallia,","de ce qui se ferait en Gaule,"
caperetque consilium,et prit une résolution
pro tempore,selon les circonstances
"et selon l'événement,","et selon l'événement,"
"ipse,","lui-même,"
cum quinque legionibus,avec cinq légions
et numero equitum pari,et un nombre de cavaliers égal
quem relinquebat,à celui qui'il laissait
"in continenti,","sur le continent,"
solvit naves,détacha les vaisseaux (mit à la voile)
"occasu solis,",au coucher du soleil
