Latin,Français
monet,l'avenir
ut in religinum tempus,que pour le reste-du temps
vitet omnes suspiciones;,il évite tous les soupçons;
dicit se condonare preterita,il dit lui-même faire-remise du passé
Divitiaco fratri.,à Divitiacus son frère.
Ponit custodes,Il établit des surveillants
"Dumnorigi,","à Dumnorix,"
ut possit scire,afin qu'il puisse savoir
"quæ agat,","quelles choses il fait,"
quibuscum loquatur.,avec quelles gens il s'entretient.
XXI. Eodem die,XXI. Le même jour
factus certior,fait mieux-informé (instruit)
ab exploratoribus,par ses éclaireurs
hostes consedisse,les ennemis s'étant établis
sub monte,au-pied-d'une montagne
octo millia passuum,à huit milliers de pas
"a castris ipsius,","du camp de lui-même,"
misit qui cognoscerent,il envoyait des gens qui devaient reconnaître
qualis esset natura montis,quelle était la nature de la montagne
et qualis ascensus,et quelle était la montée
in circuitu.,dans le tour.
Renuntiatum est,Il lui fut rapporté
esse facilem.,la montée être facile.
"De tertia vigilia,","A la troisième veille,"
"jubet T. Labienum,","il ordonne T. Labienus,"
"legatum pro pretore,","lieutenant propriétaire,"
ascendere jugum summum,gravir le sommet le plus haut
montis,de la montagne
cum duabus legionibus,avec deux légions
"et iis ducibus,","et ces (les) guides,"
qui cognoverant iter;,qui avaient reconnu la route;
ostendit,il lui découvre
quid sit sui consilii.,quelle chose est de (dans) son déssein.
Ipse de quarta vigilia,Lui-même à la quatrième veille
"eodem itinere,","par la même route,"
"quo hostes ierant,","par laquelle les ennemis avaient marché,"
"contendit ad eos,","se dirige vers eux,"
mittique ante se,et envole devant lui-même
omnem equitatum.,toute la cavalerie.
"P. Considius,","P. Considius,"
qui hahebatur peritissimus,qui était tenu pour très-expérimenté
"rei militaris,","dans l'art militaire,"
et fuerat,et avait été (avait servi)
"in exercitu L. Sullæ,","dans l'armée de L. Sylla,"
"et postea in M. Crassi,","et après-cela dans celle de M. Crassus,"
præmittitur,est envoyé-avant
cum exploratoribus.,avec des éclaireurs.
