Latin,Français
ut spatium conjiciendi pila que l'espace (le temps) de lancer les ja-,n'était pas donné.
in hostes,"Les javelots étaient rejetés (laissés de côté),"
non daretur.,on combattit de prés
"Pilis rejectis,",avec les épées;
pugnatum est cominus,"mais les Germains,"
gladiis ;,la phalange était faite rapidement
"at Germani,","d'après leur coutume,"
phalange facta celeriter,requurent le choo
"ex sua consuetudine,",des épées.
exceperunt impetus,Plusieurs de nos soldats
gladiorum.,"furent trouvés,"
Complures nostri milites,"qui sautaient sur les phalanges,"
"reperti sunt,",et arrachaient les boucliers
"qui insilirent in phalangas,","des mains des ennemis,"
et revellerent scuta,et les blessaient par-dessus.
"manibus,",Tandis que la ligne des ennemis
et vulnerarent desuper.,à l'aile gauche
Quum acies hostium,avait été battue
a cornu sinistro,"et tournée (mise) en fuite,"
pulsa esset,à l'aile droite
"atque conversa in fugam,",ils pressaient vivement
a cornu dextro,notre ligne
premebant vehementer,par le grand-nombre de leurs soldats.
nostram aciem,"Comme P. Crassus,"
nostram aciem,jeune-homme
multitudine suorum.,"qui était-à-la-tête-de la cavalerie,"
Quum P. Crassus,"avait remarqué cela,"
adolescens,vu qu'il était plus dégagé
"qui premerat equitatu,",que ceux qui se trouvaient
"animadvertisset id,","parmi la bataille,"
quod erat expedittior,il voyait la troisième ligne
quam hi qui versabantur,à (au) secours
"inter aciem,",aux (des) nôtres qui étaient-en-péril.
"inter aciem,",LIII. Ainsi le combat
misit tertiam aciem,"fut rétabli,"
subsidio,et tous les ennemis
nostris laborantibus.,"tournèrent le dos,"
LIII. Ita proelium,"et ne cessèrent pas de fuir,"
"restitutum est,",avant qu'ils fussent arrivés
atque omnes hostes,"au fleuve du Rhin,"
atque omnes hostes,environ
"verterunt terga,",à cinquante milliers
neque destituerunt fugere,de pas
prinsquam pervenerint,de ce lieu-là.
"ad flumen Rhenum,",La de très-peu-nombreux
circiter,
quinquaginta millia,
passuum,
ex eo loco.,
Ibi perpaucci,
