Latin,Français
petenti;,à César le demandant;
"in magnam spem,",et il en venait
"fore uti,","à un grand espoir,"
pro beneficiis tantis,"devoir être (qu'il arriverait) que,"
suis populique Romani,pour les bienfaits si-grands
"in eum,",de-lui-même et du peuple romain
"suis postulatis cognitis,","envers lui (Arioviste),"
desisteret pertinacia.,"ses demandes étant connues,"
"Dies dictus est colloquio,",il se désisterait de son obstination.
quintus eo die.,"Un jour fut désigné pour l'entretien,"
Interim quum legati,le cinquième à-partir-de ce jour-là.
mitterentur saepé inter eos,Cependant comme des députés
"ultra citroque,",étaient envoyés souvent entre eux
Ariovistus postulavit,"en-allant et en-revenant (des deux côtés),"
ne César,Arioviste demanda
adduceret quem peditem,que César
ad colloquium,n'amenât pas quelque fantassin (de l'in-
ad colloquium,"à l'entretien, disant :"
* Se vereri,« Lui-même craindre
ne circumveniretur ab eo,qu'il ne fût enveloppé par lui (César)
per insidias;,à-l'aide d'embauches;
uterque veniret,que l'un-et-l'autre vint
cum equitatu;,avec de la cavalerie;
alia ratione,d'autre façon
se non venturum esse.,lui-même ne devoir pas venir.
"Cæsar, quod neque volebat","César, parce que et il ne voulait pas"
colloquium tolli,l'entretien être supprimé
"causa interposita,","par un prétexte placé-entre eux,"
neque audebat,et il n'osait pas
committere suam salutem,confier son salut
"equitatui Gallorum,","à la cavalerie des Gaulois,"
statuit,décidà
"commodissimum esse,","le plus commode être,"
omnibus equis detractis,tous les chevaux ayant été retirés
"equitibus Gallis,","aux cavaliers gaulois,"
imponere eo,de placer là(sur ces chevaux)
milites legionarios,les soldats légionnaires
"decima legionis,","de la dixième légion,"
cui confidebat,à laquelle il se fiait
"quam maxime,","le plus qu'il était possible,"
"ut, si esset opns facto","afin que, s'il était besoin d'action"
"aliquid,","en quelque chose,"
haberet præsidium,il eut un appui aussi ami
quam amicissimum.,qu'il pouvait avoir le plus ami.
"Quod quum fieret,","Comme cela se faisait,"
quidam ex militibus,un certain des soldats
decimæ legionis,de la dixième légion
