Latin,Français
causa recusandi,en vue de refuser
aut deprecandi.,ou de détourner-cela-par-des-prières.
César cognoverat id factum ex suis hospitibus.,César avait appris ce fait de ses hôtes.
"Ille primo contendit petere omnibus precibus, ut relinqueretur in Gallia :","Célni-la (Dumnorix) d'abord s'appliqua à demander avec toute sorte-de prières, qu'il fit laisser en Gaule :"
"partim, quod partim, quod insuetus navigandi","en partie, parce que non-habitué à naviguer"
timeret mare;,il craignait la mer;
"partim, quod diceret sese imperiri","en partie, parce qu'il disait lui-même être empêché (retenu)"
religionibus.,par des motifs-religieux.
"Posteaquam vidit id negari sibi obstinate,",Après qu'il eut vu ceci être refusé à lui-même
omni spe impetrandi,"avec-persistance,"
"adempta,",tout espoir de l'obtenir
copit sollicitare,"lui syant été enlevé,"
"principes Galliae,",il commença à solliciter
sevocare singulos,"les principaux de la Gaule,"
"hortarque,",à les appeler-à-part un-à-un
uti remanerent in continenti-,"et à les exhorter,"
"territare metu,","pour qu'ils restassent sur le continent,"
non fieri sine onus,"à les effrayer-sans-cesse par la crainte,"
ut Gallia spolliaretur,disant ne pas se faire sans motif que la Gaule fit dépuillée
omni nolilitate :,de toute la noblesse.
"id esse consilium Cæsaris,","celnici (le suivant) (êtrele dessein de César,"
"ut, quos veretur","que, ceux qu'il redoutait"
interficere,de mettre-à-mort
"in conspectu Galliæ,","à la vue de la Gaule,"
necaret omnes hos,il tuait tous ceux-ci
tra. siuctos in Britanniam:,transportés en Bretagne :
interponere fidem,il commence à faire-intervenir (engager)
"reliquis,","aux autres,"
"porcere jusjurandum,","à leur demander un serment,"
ut administrarent,qu'ils gouvernassent
consilio communi,dans des vues communes
quod intellexissent,ce qu'ils auraient compris
esse ex usu Galliæ.,être de l'utilité de la Gaule.
Hæc deferebantur ad Cæsarem pluribus.,Ces faits
a pluribus.,étaient rapportés à César par plusieurs.
"Qua re cognita,","Cette circonstance étant connue,"
"César, quod tribuerat","César, parce qu'il avait accordé"
"VII. Qua re cognita,","VII. Cette circonstance étant connue,"
"César, quod tribuerat","César, parce qu'il avait accordé"
